up_new,Descrizione,G1a,G1b,G2a,G2b,G3a,G3b,G4a,G4b,G5a,G5b,G6a,G6b,G7a,G7b,G8a,G8b,G9a,G9b,G10a,G10b,G11a,G11b,G12a,G12b,G13a,G13b,G14a,G14b,G15a,G15b,G16a,G16b,G17a,G17b,G18a,G18b,G19a,G19b,G20a,G20b,G21a,G21b,G22a,G22b,G23a,G23b,G24a,G24b,G25a,G25b,G26a,G26b,G27a,G27b,G28a,G28b,G29a,G29b,G30a,G30b,G31a,G31b,G32a,G32b,G33a,G33b,G34a,G34b,G35a,G35b,G36a,G36b,G37a,G37b,G38a,G38b,G39a,G39b,G40a,G40b,G41a,G41b
1.1.2.4.1,"Direttori generali, dipartimentali ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",83.3333333333,76.1904761905,70.8333333333,66.6666666667,58.3333333333,57.1428571429,33.3333333333,38.0952380952,66.6666666667,59.5238095238,83.3333333333,71.4285714286,75,71.4285714286,54.1666666667,52.380952381,87.5,73.8095238095,95.8333333333,85.7142857143,70.8333333333,69.0476190476,66.6666666667,66.6666666667,83.3333333333,73.8095238095,87.5,80.9523809524,87.5,76.1904761905,0,0,0,0,0,0,66.6666666667,40.4761904762,0,0,16.6666666667,11.9047619048,0,0,0,0,58.3333333333,52.380952381,79.1666666667,64.2857142857,100,83.3333333333,87.5,85.7142857143,87.5,80.9523809524,66.6666666667,61.9047619048,16.6666666667,16.6666666667,70.8333333333,76.1904761905,45.8333333333,50,91.6666666667,73.8095238095,95.8333333333,78.5714285714,62.5,59.5238095238,87.5,76.1904761905,79.1666666667,76.1904761905,70.8333333333,73.8095238095,50,45.2380952381,62.5,57.1428571429,75,76.1904761905
1.1.2.4.2,"Rettori di università, direttori di istituzioni dell’Alta Formazione e di enti di ricerca",91.6666666667,78.5714285714,68.0555555556,58.7301587302,51.3888888889,51.5873015873,22.2222222222,20.6349206349,58.3333333333,56.3492063492,75,68.253968254,61.1111111111,58.7301587302,62.5,61.9047619048,77.7777777778,76.1904761905,91.6666666667,84.126984127,72.2222222222,67.4603174603,66.6666666667,68.253968254,90.2777777778,81.7458730159,83.3333333333,81.746031746,86.1111111111,82.5396825397,2.7777777778,2.3809285714,1.3888888889,1.5872777778,0,0,63.8888888889,56.3492063492,0,0,36.1111111111,34.9206349206,0,0,0,0,40.2777777778,34.9206349206,88.8888888889,82.5396825397,91.6666666667,86.5079365079,97.2222222222,88.0952380952,90.2777777778,87.3015873016,34.7222222222,34.9206349206,19.4444444444,22.2222222222,83.3333333333,76.9841269841,52.7777777778,55.5555555556,90.2777777778,81.746031746,83.3333333333,78.5712698413,76.3888888889,73.8095238095,81.9444444444,80.1587301587,77.7777777778,69.8412698413,56.9444444444,61.1111111111,34.7222222222,33.3333333333,47.2222222222,50,68.0555555556,63.4920634921
1.1.2.4.3,Direttori generali ed equiparati nella sanità,72.0588235294,71.4285714286,61.7647058824,58.8235294118,58.8235294118,56.3025210084,29.4117647059,27.731092437,50,44.5378151261,64.7058823529,63.025210084,72.0588235294,68.9075630252,47.0588235294,51.2605042017,57.3529411765,60.5042016807,86.7647058824,83.1932773109,57.3529411765,56.3025210084,61.7647058824,63.8655462185,88.2352941176,77.3109243697,72.0588235294,69.7478991597,70.5882352941,73.9495798319,8.8235294118,8.4033613445,2.9411764706,2.5210084034,10.2941176471,8.4033613445,45.5882352941,42.0168067227,1.4705882353,1.6806722689,4.4117647059,4.2016554622,0,0,0,0,29.4117647059,30.2521008403,55.8823529412,52.1008403361,79.4117647059,79.8319327731,82.3529411765,83.1932773109,80.8823529412,78.9915966387,36.7647058824,31.0924369748,16.1764705882,15.9663865546,66.1764705882,63.025210084,27.9411764706,24.3697478992,73.5294117647,74.7899159664,76.4705882353,67.2268907563,39.7058823529,44.5378151261,70.5882352941,71.4285714286,52.9411764706,50.4201680672,51.4705882353,57.1428571429,25,22.6890756303,42.6470588235,47.0588235294,70.5882352941,68.0672268908
1.1.2.5.0,Dirigenti scolastici ed equiparati,76.0416666667,66.0714285714,51.0416666667,51.7857142857,43.75,43.4523809524,20.8333333333,17.2619047619,34.375,35.7142857143,72.9166666667,64.880952381,62.5,58.9285714286,60.4166666667,61.9047619048,61.4583333333,60.7142857143,85.4166666667,73.2142857143,70.8333333333,63.0952380952,79.1666666667,67.8571428571,81.25,69.6428571429,86.4583333333,73.2142857143,85.4166666667,74.4047619048,12.5,12.5,8.3333333333,8.9285714286,4.1666666667,4.7619047619,63.5416666667,50,2.0833333333,2.3809345238,6.25,5.357125,2.0833333333,1.1904761905,0,0,50,48.8095238095,69.7916666667,63.0952380952,81.25,74.4047619048,87.5,76.1904761905,86.4583333333,75.5952380952,57.2916666667,56.5476190476,21.875,22.619047619,75,67.8571428571,46.875,44.6428571429,88.5416666667,74.4047619048,88.5416666667,73.2142857143,81.25,72.619047619,85.4166666667,79.7619047619,72.9166666667,69.6428571429,66.6666666667,64.880952381,44.7916666667,42.2619047619,66.6666666667,60.119047619,63.5416666667,61.9047619048
1.1.2.6.1,"Dirigenti ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",82.3529411765,71.4285714286,58.8235294118,52.1008403361,61.7647058824,55.4621848739,13.2352941176,10.9243697479,47.0588235294,43.6974789916,67.6470588235,63.025210084,75,64.7058823529,67.6470588235,59.6638655462,73.5294117647,64.7058823529,83.8235294118,75.6302521008,51.4705882353,53.781512605,69.1176470588,64.7058823529,73.5294117647,68.0672268908,80.8823529412,73.1092436975,80.8823529412,73.1092436975,0,0,0,0,0,0,69.1176470588,53.781512605,2.9411764706,4.2016806723,4.4117647059,4.2016554622,0,0,0,0,51.4705882353,48.7394957983,73.5294117647,62.1848739496,89.7058823529,75.6302521008,86.7647058824,74.7899159664,82.3529411765,73.9495798319,51.4705882353,47.0588235294,11.7647058824,14.2857142857,76.4705882353,67.2268907563,52.9411764706,55.4621848739,83.8235294118,74.7899159664,80.8823529412,68.9075630252,58.8235294118,59.6638655462,85.2941176471,76.4705882353,61.7647058824,58.8235294118,76.4705882353,70.5882352941,66.1764705882,67.2268907563,22.0588235294,21.8487394958,75,68.0672268908
1.1.2.6.2,Dirigenti ed equiparati delle università e degli enti di ricerca,82.8947368421,75.1879699248,60.5263157895,60.9022556391,47.3684210526,47.3684210526,10.5263157895,9.7744360902,42.1052631579,42.1052631579,72.3684210526,64.6616541353,68.4210526316,61.6541353383,60.5263157895,67.6691729323,67.1052631579,65.4135338346,84.2105263158,78.9473684211,60.5263157895,63.9097744361,75,68.4210526316,82.8947368421,73.6842105263,77.6315789474,75.1879699248,80.2631578947,74.4360902256,1.3157894737,1.5037593985,1.3157894737,1.5037593985,1.3157894737,1.5037368421,67.1052631579,53.3834586466,0,0,21.0526315789,18.045112782,0,0,0,0,48.6842105263,44.3609022556,69.7368421053,68.4210526316,85.5263157895,75.9398496241,82.8947368421,78.1954887218,78.9473684211,81.2030075188,32.8947368421,31.5789473684,18.4210526316,16.5413533835,64.4736842105,61.6541353383,34.2105263158,33.8345864662,84.2105263158,74.4360902256,80.2631578947,72.9323308271,59.2105263158,55.6390977444,73.6842105263,68.4210526316,73.6842105263,71.4285714286,73.6842105263,74.4360902256,43.4210526316,45.8646616541,44.7368421053,45.8646616541,59.2105263158,60.1503759398
1.1.2.6.3,Dirigenti ed equiparati nella sanità,78,69.1428571429,63,58.2857142857,54,54.8571428571,28,29.7142857143,41,42.2857142857,66,60.5714285714,74,65.7142857143,58,61.1428571429,65,66.2857142857,83,72.5714285714,53,52.5714285714,70,67.4285714286,76,72,76,73.1428571429,75,70.8571428571,5,5.7142857143,5,8.5714285714,0,0,55,45.1428571429,0,0,15,13.7142857143,0,0,0,0,53,47.4285714286,64,64,84,73.7142857143,79,73.7142857143,80,78.8571428571,53,53.7142857143,14,13.1428571429,73,65.7142857143,46,43.4285714286,74,69.1428571429,70,62.8571428571,47,49.1428571429,74,69.1428571429,56,53.1428571429,65,64,45,46.8571428571,31,33.7142857143,66,58.2857142857
1.1.3.1.0,Dirigenti della magistratura ordinaria,79.4117647059,71.4285714286,64.7058823529,56.3025210084,39.7058823529,36.1344537815,4.4117647059,5.8823277311,10.2941176471,9.243697479,55.8823529412,49.5798319328,57.3529411765,57.1428571429,55.8823529412,51.2605042017,61.7647058824,61.3445378151,86.7647058824,78.1512605042,45.5882352941,44.5378151261,72.0588235294,67.2268907563,72.0588235294,68.9075630252,79.4117647059,73.9495798319,83.8235294118,77.3109243697,1.4705882353,1.6806722689,0,0,0,0,66.1764705882,57.1428571429,0,0,4.4117647059,4.2016554622,0,0,1.4705882353,2.5210084034,50,43.6974789916,57.3529411765,50.4201680672,73.5294117647,61.3445378151,77.9411764706,67.2268907563,79.4117647059,71.4285714286,25,25.2100840336,0,0,66.1764705882,61.3445378151,54.4117647059,47.0588235294,80.8823529412,73.9495798319,64.7058823529,61.3445378151,44.1176470588,42.0168067227,66.1764705882,65.5462184874,45.5882352941,43.6974789916,52.9411764706,51.2605042017,32.3529411765,36.974789916,4.4117647059,7.563,45.5882352941,36.974789916
1.1.3.2.0,Dirigenti della magistratura amministrativa e delle giurisdizioni speciali,72.3684210526,72.9323308271,60.5263157895,58.6466165414,53.9473684211,53.3834586466,17.1052631579,21.0526315789,43.4210526316,44.3609022556,59.2105263158,60.9022556391,68.4210526316,66.9172932331,57.8947368421,62.4060150376,63.1578947368,63.9097744361,78.9473684211,75.1879699248,43.4210526316,47.3684210526,65.7894736842,63.9097744361,57.8947368421,63.1578947368,72.3684210526,70.6766917293,69.7368421053,71.4285714286,2.6315789474,3.007518797,2.6315789474,4.5112781955,0,0,59.2105263158,49.6240601504,1.3157894737,1.5037593985,21.0526315789,19.5488721805,0,0,0,0,53.9473684211,58.6466165414,76.3157894737,67.6691729323,73.6842105263,70.6766917293,64.4736842105,63.9097744361,68.4210526316,69.9248120301,35.5263157895,34.5864661654,2.6315789474,2.2556390977,55.2631578947,51.8796992481,30.2631578947,36.8421052632,65.7894736842,57.8947368421,57.8947368421,55.6390977444,43.4210526316,43.6090225564,60.5263157895,59.3984962406,59.2105263158,60.1503759398,56.5789473684,59.3984962406,52.6315789474,55.6390977444,19.7368421053,23.3082706767,36.8421052632,44.3609022556
1.1.4.1.1,Dirigenti di partiti e movimenti politici,84.2105263158,69.9248120301,57.8947368421,58.6466165414,36.8421052632,38.3458646617,18.4210526316,18.045112782,31.5789473684,30.8270676692,60.5263157895,57.1428571429,57.8947368421,56.3909774436,43.4210526316,50.3759398496,50,54.1353383459,59.2105263158,61.6541353383,52.6315789474,56.3909774436,56.5789473684,57.1428571429,71.0526315789,68.4210526316,71.0526315789,68.4210526316,67.1052631579,67.6691729323,9.2105263158,13.5338345865,6.5789473684,12.030075188,0,0,60.5263157895,51.8796992481,14.4736842105,11.2781954887,2.6315789474,2.2556165414,0,0,0,0,31.5789473684,29.3233082707,35.5263157895,33.0827067669,76.3157894737,66.1654135338,84.2105263158,73.6840601504,90.7894736842,75.9398496241,38.1578947368,41.3533834586,11.8421052632,17.2932330827,65.7894736842,63.1578947368,71.0526315789,63.9097744361,64.4736842105,63.9097744361,67.1052631579,66.1654135338,46.0526315789,50.3759398496,53.9473684211,55.6390977444,59.2105263158,59.3984962406,56.5789473684,57.8947368421,34.2105263158,41.3533834586,28.9473684211,34.5864661654,47.3684210526,51.1278195489
1.1.4.1.2,Dirigenti di sindacati e altre organizzazioni a tutela di interessi economici e sociali,81.25,77.8571428571,63.75,59.2857142857,46.25,46.4285714286,11.25,12.1428571429,28.75,32.1428571429,58.75,65,61.25,57.8571428571,62.5,65,67.5,69.2857142857,78.75,77.8571428571,61.25,60,82.5,75.7141428571,75,73.5714285714,73.75,68.5714285714,72.5,72.1428571429,5,4.2857142857,3.75,5,2.5,3.5714285714,62.5,56.4285714286,0,0,18.75,17.1428571429,0,0,0,0,52.5,50.7142857143,61.25,60.7142857143,76.25,72.1428571429,85,80,83.75,81.4285714286,41.25,38.5714285714,21.25,21.4285714286,91.25,84.2857142857,66.25,65,72.5,71.4285714286,73.75,75.7142857143,63.75,62.8571428571,67.5,69.2857142857,65,67.8571428571,73.75,78.5714285714,45,45,52.5,54.2857142857,58.75,58.5714285714
1.1.4.2.0,"Dirigenti di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale",77.6315789474,72.9323308271,56.5789473684,61.6541353383,46.0526315789,51.8796992481,11.8421052632,11.2781954887,56.5789473684,51.8796992481,69.7368421053,68.4210526316,59.2105263158,60.9022556391,68.4210526316,65.4135338346,69.7368421053,66.1654135338,84.2105263158,71.4285714286,67.1052631579,67.6691729323,73.6842105263,69.1729323308,84.2105263158,73.6842105263,80.2631578947,75.9398496241,80.2631578947,76.6917293233,2.6315789474,3.007518797,2.6315789474,5.2631578947,0,0,52.6315789474,49.6240601504,1.3157894737,1.5037368421,23.6842105263,23.3082706767,5.2631578947,6.7669172932,2.6315789474,3.007518797,48.6842105263,47.3684210526,57.8947368421,54.8872180451,84.2105263158,75.1879699248,82.8947368421,78.1954887218,77.6315789474,80.4511278195,38.1578947368,40.6015037594,18.4210526316,24.8120300752,60.5263157895,57.1428571429,40.7894736842,45.1127819549,82.8947368421,71.4285714286,77.6315789474,68.4210526316,56.5789473684,57.8947368421,72.3684210526,69.9248120301,67.1052631579,66.9172932331,64.4736842105,70.6766917293,46.0526315789,48.8721804511,53.9473684211,49.6240601504,72.3684210526,70.6766917293
1.2.1.1.0,"Imprenditori e amministratori di grandi aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca",67.1052631579,58.6466165414,60.5263157895,60.9022556391,60.5263157895,59.3984962406,53.9473684211,53.3834586466,63.1578947368,59.3984962406,63.1578947368,62.4060150376,67.1052631579,64.6616541353,50,58.6466165414,55.2631578947,55.6390977444,75,67.6691729323,53.9473684211,59.3984962406,65.7894736842,64.6616541353,67.1052631579,66.1654135338,72.3684210526,70.6766917293,73.6842105263,67.6691729323,28.9473684211,31.5789473684,31.5789473684,36.0902255639,30.2631578947,36.8421052632,38.1578947368,36.8421052632,36.8421052632,39.0977443609,13.1578947368,17.2932330827,21.0526315789,27.8195488722,5.2631578947,10.5263157895,39.4736842105,34.5864661654,48.6842105263,47.3684210526,64.4736842105,59.3984962406,71.0526315789,69.1729323308,68.4210526316,66.1654135338,25,33.8345864662,57.8947368421,60.9022556391,56.5789473684,55.6390977444,32.8947368421,30.0751879699,65.7894736842,63.1578947368,47.3684210526,54.8872180451,35.5263157895,44.3609022556,55.2631578947,55.6390977444,51.3157894737,54.8872180451,47.3684210526,53.3834586466,57.8947368421,51.8796992481,42.1052631579,50.3759398496,71.0526315789,72.1804511278
1.2.1.2.0,"Imprenditori e amministratori di grandi aziende che operano nell'estrazione dei minerali, nella manifattura, nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti",77.5,71.4285714286,63.75,61.4285714286,56.25,52.1428571429,32.5,30.7142857143,65,52.8571428571,78.75,67.1428571429,61.25,60,53.75,52.1428571429,62.5,56.4285714286,93.75,78.5712857143,72.5,65,76.25,70.7142857143,87.5,77.8571428571,73.75,70.7142857143,78.75,75,5,5.7142857143,3.75,4.2857142857,2.5,2.1428571429,50,42.1428571429,3.75,5,16.25,18.5714285714,1.25,2.1428571429,0,0,42.5,40.7142857143,60,57.1428571429,78.75,67.1428571429,88.75,72.857,83.75,75,27.5,30.7142857143,58.75,50.7142857143,66.25,65,23.75,22.8571428571,75,69.2857142857,72.5,68.5714285714,45,45.7142857143,82.5,75.7141428571,55,60.7142857143,55,57.8571428571,37.5,35.7142857143,52.5,55.7142857143,81.25,74.2857142857
1.2.1.3.0,Imprenditori e amministratori di grandi aziende di costruzioni,73.8095238095,68.0272108844,52.380952381,47.619047619,42.8571428571,46.2585034014,26.1904761905,23.1292517007,59.5238095238,48.2993197279,65.4761904762,64.6258503401,57.1428571429,50.3401360544,47.619047619,42.8571428571,48.8095238095,45.5782312925,86.9047619048,74.1493877551,47.619047619,47.619047619,61.9047619048,61.9047619048,84.5238095238,73.4692517007,73.8095238095,68.0272108844,73.8095238095,66.6666666667,8.3333333333,9.5238095238,7.1428571429,8.843537415,3.5714285714,4.0816326531,57.1428571429,42.8571428571,1.1904761905,1.3605442177,25,23.8095238095,3.5714285714,4.0816326531,3.5714285714,3.4013605442,40.4761904762,36.7346938776,53.5714285714,49.6598639456,83.3333333333,72.7891156463,85.7142857143,78.231292517,88.0952380952,76.1904761905,22.619047619,23.1292517007,36.9047619048,38.0952380952,65.4761904762,57.8231292517,20.2380952381,17.0068027211,70.2380952381,65.9863945578,58.3333333333,49.6598639456,50,42.1768707483,72.619047619,69.387755102,51.1904761905,46.2585034014,47.619047619,46.9387755102,45.2380952381,43.537414966,63.0952380952,66.6666666667,86.9047619048,79.5918367347
