up_new,Descrizione,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
5.4.2.2.2,Croupiers,63.2352941176,52.9411764706,64.7058823529,64.7058823529,20.5882352941,70.5882352941,51.4705882353,61.7647058824,63.2352941176,73.5294117647,42.6470588235,61.7647058824,70.5882352941,55.8823529412,54.4117647059,75,73.3333333333,71.6666666667,39.7058823529,35,32.3529411765
5.4.2.2.3,Ricevitori,64.2857142857,52.380952381,78.5714285714,67.8571428571,51.1904761905,50,54.7619047619,67.8571428571,32.1428571429,55.9523809524,44.0476190476,61.9047619048,65.4761904762,60.7142857143,67.8571428571,68.75,68.75,71.875,52.380952381,46.875,54.7619047619
5.4.2.3.0,"Astrologi, preveggenti, chiromanti e professioni assimilate",86.3636363636,86.3636363636,75,90.9090909091,79.5454545455,43.1818181818,36.3636363636,79.5454545455,34.0909090909,47.7272727273,38.6363636364,52.2727272727,61.3636363636,88.6363636364,90.9090909091,62.5,62.5,62.5,81.8181818182,75,77.2727272727
5.4.3.1.0,Acconciatori,83.75,82.5,81.25,71.25,70,53.75,53.75,77.5,60,66.25,62.5,72.5,63.75,70,71.25,80,80,80,87.5,45,78.75
5.4.3.2.0,Estetisti e truccatori,83.3333333333,80.9523809524,76.1904761905,80.9523809524,66.6666666667,52.380952381,50,72.619047619,52.380952381,67.8571428571,50,65.4761904762,58.3333333333,73.8095238095,79.7619047619,75,75,75,80.9523809524,25,80.9523809524
5.4.3.3.0,Massaggiatori ed operatori termali,79.5454545455,82.9545454545,76.1363636364,71.5909090909,46.5909090909,52.2727272727,62.5,75,50,60.2272727273,52.2727272727,70.4545454545,72.7272727273,77.2727272727,77.2727272727,76.1904761905,71.4285714286,70.2380952381,59.0909090909,45.2380952381,46.5909090909
5.4.4.1.0,Personale di compagnia e personale qualificato di servizio alle famiglie,70.2380952381,52.380952381,80.9523809524,89.2857142857,38.0952380952,35.7142857143,34.5238095238,57.1428571429,16.6666666667,47.619047619,30.9523809524,55.9523809524,52.380952381,86.9047619048,80.9523809524,55.9523809524,54.7619047619,44.0476190476,46.4285714286,47.619047619,42.8571428571
5.4.4.2.0,Addetti alla sorveglianza di bambini e professioni assimilate,84.0909090909,79.5454545455,88.6363636364,71.5909090909,72.7272727273,38.6363636364,35.2272727273,75,43.1818181818,55.6818181818,56.8181818182,69.3181818182,70.4545454545,89.7727272727,92.0454545455,64.5833333333,64.5833333333,62.5,81.8181818182,58.3333333333,67.0454545455
5.4.4.3.0,Addetti all'assistenza personale,70.4545454545,64.7727272727,77.2727272727,73.8636363636,57.9545454545,51.1363636364,50,59.0909090909,51.1363636364,59.0909090909,31.8181818182,57.9545454545,59.0909090909,90.9090909091,87.5,67.5,62.5,57.5,60.2272727273,57.5,44.3181818182
5.4.5.1.0,Addestratori di animali,90.4761904762,80.9523809524,71.4285714286,71.4285714286,60.7142857143,36.9047619048,35.7142857143,82.1428571429,46.4285714286,57.1428571429,79.7619047619,65.4761904762,64.2857142857,86.9047619048,88.0952380952,85,70,75,83.3333333333,60,84.5238095238
5.4.5.2.0,Custodi e allevatori di animali domestici e da esposizione,80.6818181818,84.0909090909,92.0454545455,65.9090909091,73.8636363636,44.3181818182,52.2727272727,81.8181818182,43.1818181818,55.6818181818,63.6363636364,75,77.2727272727,69.3181818182,82.9545454545,81.25,78.125,56.25,76.1363636364,65.625,73.8636363636
5.4.6.1.0,Esercenti di agenzie per il disbrigo di pratiche ed assimilate,79.7619047619,57.1428571429,78.5714285714,69.0476190476,57.1428571429,38.0952380952,40.4761904762,54.7619047619,32.1428571429,45.2380952381,66.6666666667,60.7142857143,69.0476190476,75,86.9047619048,100,100,100,39.2857142857,75,59.5238095238
5.4.6.2.0,Addetti di agenzie per il disbrigo di pratiche e professioni assimilate,67.5,67.5,78.75,62.5,52.5,56.25,47.5,70,36.25,55,51.25,65,70,75,83.75,75,87.5,78.125,42.5,43.75,56.25
