up_new,Descrizione,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57
1.1.2.4.1,"Direttori generali, dipartimentali ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",95.8333333333,50,95.8333333333,100,95.8333333333,66.6666666667,91.6666666667,83.3333333333,83.3333333333,66.6666666667,83.3333333333,75,45.8333333333,8.3333333333,100,0,12.5,8.3333333333,0,0,33.3333333333,4.1666666667,4.1666666667,0,0,0,0,0,8.3333333333,0,0,0,0,79.1666666667,0,25,0,0,16.6666666667,0,0,8.3333333333,0,0,70.8333333333,79.1666666667,70.8333333333,62.5,0,79.1666666667,45.8333333333,75,25,66.6666666667,16.6666666667,0,4.6666666667
1.1.2.4.2,"Rettori di università, direttori di istituzioni dell’Alta Formazione e di enti di ricerca",95.8333333333,70.8333333333,100,100,100,88.8888888889,87.5,83.3333333333,84.7222222222,68.0555555556,83.3333333333,63.8888888889,54.1666666667,4.1666666667,100,0,0,0,0,4.1666666667,27.7777777778,0,0,0,0,0,0,0,1.3888888889,0,0,0,0,72.2222222222,0,20.8333333333,0,0,27.7777777778,11.1111111111,1.3888888889,2.7777777778,0,0,66.6666666667,93.0555555556,95.8333333333,76.3888888889,6.9444444444,83.3333333333,20.8333333333,80.5555555556,44.4444444444,76.3888888889,0,5.5555555556,4.2222222222
1.1.2.4.3,Direttori generali ed equiparati nella sanità,98.5294117647,55.8823529412,100,100,97.0588235294,97.0588235294,86.7647058824,57.3529411765,86.7647058824,89.7058823529,85.2941176471,76.4705882353,50,7.3529411765,100,22.0588235294,7.3529411765,0,0,19.1176470588,27.9411764706,5.8823529412,2.9411764706,0,0,0,0,0,2.9411764706,0,0,0,0,70.5882352941,0,29.4117647059,1.4705882353,4.4117647059,33.8235294118,7.3529411765,1.4705882353,7.3529411765,5.8823529412,1.4705882353,63.2352941176,89.7058823529,94.1176470588,80.8823529412,17.6470588235,69.1176470588,29.4117647059,77.9411764706,63.2352941176,82.3529411765,1.4705882353,8.8235294118,3.7647058824
1.1.2.5.0,Dirigenti scolastici ed equiparati,91.6666666667,55.2083333333,97.9166666667,97.9166666667,91.6666666667,91.6666666667,91.6666666667,83.3333333333,91.6666666667,84.375,77.0833333333,57.2916666667,41.6666666667,10.4166666667,88.5416666667,40.625,13.5416666667,13.5416666667,1.0416666667,2.0833333333,43.75,30.2083333333,7.2916666667,4.1666666667,0,0,0,0,3.125,2.0833333333,0,0,2.0833333333,66.6666666667,1.0416666667,28.125,0,0,32.2916666667,15.625,2.0833333333,13.5416666667,0,0,65.625,83.3333333333,77.0833333333,70.8333333333,12.5,69.7916666667,21.875,76.0416666667,30.2083333333,78.125,4.1666666667,4.1666666667,3.375
1.1.2.6.1,"Dirigenti ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",89.7058823529,42.6470588235,98.5294117647,98.5294117647,94.1176470588,82.3529411765,86.7647058824,69.1176470588,91.1764705882,73.5294117647,82.3529411765,55.8823529412,57.3529411765,7.3529411765,92.6470588235,14.7058823529,10.2941176471,1.4705882353,0,0,26.4705882353,20.5882352941,5.8823529412,1.4705882353,1.4705882353,0,1.4705882353,0,2.9411764706,0,1.4705882353,0,0,76.4705882353,1.4705882353,22.0588235294,0,0,26.4705882353,2.9411764706,1.4705882353,4.4117647059,1.4705882353,0,57.3529411765,73.5294117647,64.7058823529,76.4705882353,13.2352941176,73.5294117647,36.7647058824,76.4705882353,48.5294117647,70.5882352941,0,0,3.6470588235
1.1.2.6.2,Dirigenti ed equiparati delle università e degli enti di ricerca,90.7894736842,44.7368421053,98.6842105263,100,96.0526315789,77.6315789474,90.7894736842,64.4736842105,82.8947368421,48.6842105263,85.5263157895,51.3157894737,42.1052631579,5.2631578947,96.0526315789,0,0,0,0,3.9473684211,36.8421052632,14.4736842105,2.6315789474,0,0,0,0,0,1.3157894737,0,0,0,0,77.6315789474,0,21.0526315789,1.3157894737,1.3157894737,22.3684210526,23.6842105263,1.3157894737,14.4736842105,0,0,59.2105263158,78.9473684211,82.8947368421,75,23.6842105263,82.8947368421,30.2631578947,80.2631578947,51.3157894737,76.3157894737,1.3157894737,0,4
1.1.2.6.3,Dirigenti ed equiparati nella sanità,94,46,100,100,98,96,90,74,86,70,74,67,48,16,100,15,3,1,0,4,33,6,1,0,3,0,0,0,16,0,0,1,0,69,0,31,1,2,34,16,6,15,13,0,67,85,83,76,23,82,23,72,49,75,8,0,3.56
1.1.3.1.0,Dirigenti della magistratura ordinaria,85.2941176471,44.1176470588,91.1764705882,97.0588235294,91.1764705882,85.2941176471,88.2352941176,55.8823529412,79.4117647059,52.9411764706,79.4117647059,73.5294117647,45.5882352941,8.8235294118,91.1764705882,2.9411764706,4.4117647059,2.9411764706,0,0,27.9411764706,0,1.4705882353,0,0,0,0,0,1.4705882353,0,0,0,0,85.2941176471,2.9411764706,10.2941176471,0,0,26.4705882353,20.5882352941,0,11.7647058824,0,0,83.8235294118,89.7058823529,79.4117647059,92.6470588235,23.5294117647,85.2941176471,41.1764705882,91.1764705882,50,82.3529411765,2.9411764706,5.8823529412,4.0588235294
1.1.3.2.0,Dirigenti della magistratura amministrativa e delle giurisdizioni speciali,82.8947368421,46.0526315789,96.0526315789,100,94.7368421053,71.0526315789,76.3157894737,44.7368421053,67.1052631579,46.0526315789,75,36.8421052632,42.1052631579,6.5789473684,97.3684210526,1.3157894737,1.3157894737,2.6315789474,0,0,26.3157894737,2.6315789474,1.3157894737,1.3157894737,0,0,0,0,0,0,0,0,0,81.5789473684,0,17.1052631579,1.3157894737,0,23.6842105263,11.8421052632,2.6315789474,9.2105263158,0,0,64.4736842105,80.2631578947,75,67.1052631579,15.7894736842,80.2631578947,32.8947368421,75,40.7894736842,80.2631578947,3.9473684211,0,4.2105263158
1.1.4.1.1,Dirigenti di partiti e movimenti politici,92.1052631579,63.1578947368,100,100,94.7368421053,96.0526315789,96.0526315789,85.5263157895,81.5789473684,18.4210526316,55.2631578947,65.7894736842,64.4736842105,6.5789473684,94.7368421053,40.7894736842,34.2105263158,3.9473684211,2.6315789474,42.1052631579,50,2.6315789474,5.2631578947,1.3157894737,0,0,0,0,0,0,0,0,0,68.4210526316,0,26.3157894737,0,0,40.7894736842,30.2631578947,0,13.1578947368,0,0,51.3157894737,78.9473684211,84.2105263158,67.1052631579,5.2631578947,63.1578947368,23.6842105263,72.3684210526,59.2105263158,67.1052631579,1.3157894737,10.5263157895,3.4736842105
1.1.4.1.2,Dirigenti di sindacati e altre organizzazioni a tutela di interessi economici e sociali,95,62.5,100,100,98.75,93.75,91.25,70,78.75,62.5,72.5,70,52.5,18.75,90,17.5,16.25,6.25,2.5,3.75,35,10,6.25,2.5,2.5,1.25,0,0,1.25,0,0,0,0,77.5,0,21.25,0,0,22.5,22.5,2.5,20,0,0,57.5,78.75,70,81.25,12.5,76.25,40,81.25,66.25,71.25,3.75,5,3.8
1.1.4.2.0,"Dirigenti di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale",85.5263157895,53.9473684211,98.6842105263,97.3684210526,96.0526315789,86.8421052632,90.7894736842,69.7368421053,78.9473684211,57.8947368421,86.8421052632,46.0526315789,38.1578947368,6.5789473684,97.3684210526,5.2631578947,7.8947368421,5.2631578947,0,11.8421052632,43.4210526316,11.8421052632,6.5789473684,2.6315789474,1.3157894737,1.3157894737,0,0,15.7894736842,1.3157894737,1.3157894737,0,1.3157894737,76.3157894737,1.3157894737,22.3684210526,0,0,26.3157894737,26.3157894737,1.3157894737,17.1052631579,0,0,46.0526315789,82.8947368421,71.0526315789,76.3157894737,11.8421052632,72.3684210526,21.0526315789,77.6315789474,47.3684210526,61.8421052632,3.9473684211,13.1578947368,3.8421052632
1.2.1.1.0,"Imprenditori e amministratori di grandi aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca",86.8421052632,15.7894736842,100,93.4210526316,85.5263157895,82.8947368421,73.6842105263,72.3684210526,76.3157894737,78.9473684211,86.8421052632,42.1052631579,40.7894736842,6.5789473684,63.1578947368,61.8421052632,71.0526315789,43.4210526316,51.3157894737,48.6842105263,53.9473684211,48.6842105263,44.7368421053,26.3157894737,18.4210526316,6.5789473684,19.7368421053,1.3157894737,1.3157894737,3.9473684211,18.4210526316,22.3684210526,26.3157894737,46.0526315789,14.4736842105,47.3684210526,23.6842105263,14.4736842105,60.5263157895,52.6315789474,19.7368421053,17.1052631579,39.4736842105,11.8421052632,61.8421052632,72.3684210526,77.6315789474,77.6315789474,34.2105263158,71.0526315789,40.7894736842,84.2105263158,40.7894736842,73.6842105263,48.6842105263,34.2105263158,4.8421052632
1.2.1.2.0,"Imprenditori e amministratori di grandi aziende che operano nell'estrazione dei minerali, nella manifattura, nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti",86.25,32.5,100,98.75,88.75,87.5,78.75,75,85,85,85,46.25,32.5,1.25,97.5,51.25,5,13.75,0,35,35,22.5,15,0,2.5,0,0,2.5,0,0,1.25,1.25,0,62.5,0,42.5,0,1.25,42.5,26.25,1.25,12.5,2.5,1.25,68.75,92.5,90,93.75,23.75,86.25,43.75,91.25,61.25,85,26.25,12.5,4.45
1.2.1.3.0,Imprenditori e amministratori di grandi aziende di costruzioni,90.4761904762,28.5714285714,98.8095238095,95.2380952381,92.8571428571,90.4761904762,78.5714285714,70.2380952381,83.3333333333,85.7142857143,82.1428571429,70.2380952381,51.1904761905,7.1428571429,95.2380952381,30.9523809524,46.4285714286,13.0952380952,1.1904761905,3.5714285714,30.9523809524,20.2380952381,22.619047619,1.1904761905,5.9523809524,2.380952381,0,0,0,2.380952381,2.380952381,2.380952381,1.1904761905,64.2857142857,5.9523809524,25,3.5714285714,2.380952381,32.1428571429,10.7142857143,1.1904761905,7.1428571429,20.2380952381,2.380952381,76.1904761905,77.380952381,77.380952381,92.8571428571,23.8095238095,82.1428571429,30.9523809524,94.0476190476,69.0476190476,77.380952381,16.6666666667,21.4285714286,4.6666666667
1.2.1.4.0,Imprenditori e amministratori di grandi aziende nel commercio,75,31.5789473684,100,100,97.3684210526,90.7894736842,85.5263157895,63.1578947368,88.1578947368,86.8421052632,88.1578947368,50,48.6842105263,3.9473684211,97.3684210526,19.7368421053,10.5263157895,5.2631578947,0,28.9473684211,38.1578947368,7.8947368421,5.2631578947,2.6315789474,0,0,0,0,0,0,0,0,0,73.6842105263,1.3157894737,22.3684210526,2.6315789474,1.3157894737,28.9473684211,15.7894736842,2.6315789474,17.1052631579,2.6315789474,2.6315789474,63.1578947368,85.5263157895,86.8421052632,89.4736842105,32.8947368421,71.0526315789,34.2105263158,90.7894736842,46.0526315789,75,15.7894736842,13.1578947368,4.2105263158
1.2.1.5.0,Imprenditori e amministratori di grandi aziende nei servizi di alloggio e ristorazione,89.4736842105,35.5263157895,100,100,93.4210526316,97.3684210526,89.4736842105,78.9473684211,88.1578947368,90.7894736842,93.4210526316,51.3157894737,46.0526315789,7.8947368421,92.1052631579,36.8421052632,27.6315789474,18.4210526316,1.3157894737,14.4736842105,51.3157894737,2.6315789474,1.3157894737,0,0,0,0,0,0,0,1.3157894737,1.3157894737,2.6315789474,59.2105263158,3.9473684211,38.1578947368,5.2631578947,7.8947368421,40.7894736842,36.8421052632,10.5263157895,17.1052631579,2.6315789474,2.6315789474,50,85.5263157895,82.8947368421,84.2105263158,23.6842105263,84.2105263158,44.7368421053,86.8421052632,76.3157894737,89.4736842105,17.1052631579,28.9473684211,4.6842105263
1.2.1.6.1,Imprenditori e amministratori di grandi aziende nel settore dei trasporti e magazzinaggio,85,28.75,100,95,91.25,95,76.25,76.25,87.5,88.75,83.75,53.75,58.75,8.75,93.75,38.75,23.75,3.75,0,25,36.25,13.75,11.25,1.25,0,1.25,0,0,0,0,0,0,0,58.75,3.75,37.5,5,2.5,43.75,10,7.5,10,18.75,2.5,61.25,76.25,70,83.75,25,76.25,28.75,82.5,66.25,70,23.75,17.5,4
1.2.1.6.2,"Imprenditori e amministratori di grandi aziende nei servizi editoriali, di produzione cinematografica, radiofonica e televisiva",93.75,42.5,98.75,97.5,93.75,96.25,92.5,78.75,87.5,87.5,88.75,53.75,45,11.25,96.25,2.5,2.5,2.5,1.25,6.25,32.5,8.75,5,2.5,0,0,0,0,0,0,0,0,0,78.75,0,28.75,0,1.25,26.25,28.75,0,22.5,0,0,66.25,87.5,83.75,83.75,26.25,86.25,35,87.5,65,88.75,18.75,0,4.2
1.2.1.6.3,Imprenditori e amministratori di grandi aziende nei servizi informatici e di telecomunicazione,86.6666666667,35,100,100,90,95,86.6666666667,70,75,76.6666666667,81.6666666667,56.6666666667,35,0,100,3.3333333333,3.3333333333,0,0,5,33.3333333333,5,1.6666666667,0,0,0,0,0,0,0,1.6666666667,0,0,68.3333333333,0,20,0,0,25,13.3333333333,0,20,1.6666666667,0,46.6666666667,71.6666666667,71.6666666667,90,43.3333333333,75,25,81.6666666667,66.6666666667,68.3333333333,3.3333333333,10,3.6
1.2.1.7.0,"Imprenditori e amministratori di grandi banche, assicurazioni, agenzie immobiliari, di intermediazione finanziaria",90.4761904762,47.619047619,98.8095238095,100,94.0476190476,89.2857142857,79.7619047619,72.619047619,88.0952380952,75,89.2857142857,55.9523809524,45.2380952381,1.1904761905,100,0,1.1904761905,0,0,21.4285714286,33.3333333333,11.9047619048,2.380952381,0,0,0,0,0,0,0,0,0,0,78.5714285714,0,20.2380952381,0,1.1904761905,32.1428571429,19.0476190476,2.380952381,33.3333333333,0,0,73.8095238095,86.9047619048,86.9047619048,88.0952380952,39.2857142857,79.7619047619,34.5238095238,89.2857142857,73.8095238095,78.5714285714,8.3333333333,4.7619047619,4.4285714286
1.2.1.8.0,Imprenditori e amministratori di grandi aziende nei servizi alle imprese e alle persone,93.3333333333,36.6666666667,98.3333333333,96.6666666667,90,85,88.3333333333,55,85,61.6666666667,75,56.6666666667,41.6666666667,3.3333333333,98.3333333333,1.6666666667,11.6666666667,1.6666666667,0,3.3333333333,36.6666666667,3.3333333333,1.6666666667,0,0,0,0,0,3.3333333333,0,0,0,3.3333333333,68.3333333333,0,23.3333333333,0,1.6666666667,23.3333333333,20,0,13.3333333333,3.3333333333,0,86.6666666667,93.3333333333,91.6666666667,78.3333333333,20,71.6666666667,31.6666666667,90,48.3333333333,78.3333333333,15,10,4.2
1.2.1.9.1,"Imprenditori e amministratori di grandi istituti scolastici, universitari e di ricerca privati",91.6666666667,50,100,100,95,85,90,73.3333333333,90,70,85,56.6666666667,41.6666666667,0,96.6666666667,13.3333333333,6.6666666667,0,0,0,48.3333333333,3.3333333333,1.6666666667,0,0,0,0,0,0,0,0,0,0,75,0,20,0,0,26.6666666667,15,5,6.6666666667,0,0,60,81.6666666667,73.3333333333,80,15,66.6666666667,26.6666666667,85,36.6666666667,70,3.3333333333,10,4.4
1.2.1.9.2,"Imprenditori e amministratori di grandi ospedali, cliniche private o grandi aziende di assistenza sociale",92.8571428571,26.1904761905,97.619047619,96.4285714286,91.6666666667,90.4761904762,82.1428571429,80.9523809524,84.5238095238,82.1428571429,78.5714285714,52.380952381,41.6666666667,14.2857142857,88.0952380952,19.0476190476,3.5714285714,1.1904761905,0,11.9047619048,45.2380952381,3.5714285714,1.1904761905,0,0,2.380952381,0,0,15.4761904762,0,0,0,1.1904761905,66.6666666667,1.1904761905,30.9523809524,4.7619047619,10.7142857143,30.9523809524,22.619047619,4.7619047619,16.6666666667,2.380952381,1.1904761905,67.8571428571,84.5238095238,89.2857142857,83.3333333333,19.0476190476,77.380952381,29.7619047619,86.9047619048,51.1904761905,67.8571428571,5.9523809524,4.7619047619,3.4761904762
1.2.1.9.3,"Imprenditori e amministratori di grandi aziende nel settore delle attività sportive, ricreative, di intrattenimento e di divertimento",92.6470588235,30.8823529412,100,100,86.7647058824,97.0588235294,82.3529411765,70.5882352941,75,66.1764705882,69.1176470588,57.3529411765,48.5294117647,7.3529411765,95.5882352941,7.3529411765,22.0588235294,11.7647058824,2.9411764706,16.1764705882,35.2941176471,14.7058823529,7.3529411765,1.4705882353,0,1.4705882353,0,0,0,0,0,0,0,70.5882352941,0,30.8823529412,0,0,38.2352941176,29.4117647059,5.8823529412,14.7058823529,0,0,54.4117647059,73.5294117647,70.5882352941,83.8235294118,17.6470588235,77.9411764706,35.2941176471,83.8235294118,52.9411764706,82.3529411765,11.7647058824,11.7647058824,3.6470588235
1.2.2.1.0,"Direttori e dirigenti generali di aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca",85,5,95,90,95,95,85,65,70,90,95,35,30,0,55,20,90,25,40,40,45,30,55,25,35,10,10,15,10,15,10,25,15,60,15,35,20,20,40,55,25,25,30,10,60,75,75,65,40,85,50,65,55,55,40,30,3.8
1.2.2.2.0,"Direttori e dirigenti generali di aziende che operano nella manifattura, nell'estrazione dei minerali, nella produzione e distribuzione di energia elettrica, gas, acqua e nelle attività di gestione dei rifiuti",73.8095238095,17.8571428571,98.8095238095,94.0476190476,89.2857142857,84.5238095238,80.9523809524,48.8095238095,75,71.4285714286,73.8095238095,53.5714285714,39.2857142857,3.5714285714,79.7619047619,28.5714285714,3.5714285714,7.1428571429,0,15.4761904762,47.619047619,14.2857142857,2.380952381,1.1904761905,0,1.1904761905,0,0,0,0,2.380952381,2.380952381,4.7619047619,60.7142857143,2.380952381,35.7142857143,4.7619047619,4.7619047619,44.0476190476,36.9047619048,10.7142857143,16.6666666667,1.1904761905,0,57.1428571429,82.1428571429,79.7619047619,79.7619047619,29.7619047619,82.1428571429,32.1428571429,78.5714285714,54.7619047619,78.5714285714,15.4761904762,21.4285714286,3.8571428571
1.2.2.3.0,Direttori e dirigenti generali di aziende nelle costruzioni,87.5,30,100,100,98.75,85,83.75,70,80,62.5,75,57.5,53.75,2.5,97.5,16.25,30,22.5,0,25,33.75,5,17.5,0,0,1.25,0,0,0,6.25,0,0,0,63.75,8.75,23.75,2.5,1.25,33.75,13.75,0,15,18.75,0,55,72.5,76.25,75,27.5,75,22.5,82.5,57.5,76.25,5,17.5,4.2
1.2.2.4.0,Direttori e dirigenti generali di aziende nel commercio,82.5,28.75,98.75,98.75,95,85,81.25,60,80,63.75,70,57.5,50,2.5,98.75,22.5,20,6.25,1.25,23.75,40,13.75,17.5,3.75,1.25,2.5,0,0,1.25,2.5,0,1.25,1.25,63.75,1.25,18.75,0,0,25,17.5,2.5,11.25,3.75,2.5,61.25,82.5,77.5,80,16.25,75,21.25,78.75,55,82.5,3.75,20,4.15
1.2.2.5.0,Direttori e dirigenti generali di aziende nel settore dei servizi di alloggio e ristorazione,87.5,36.25,100,93.75,90,90,92.5,93.75,91.25,90,87.5,60,58.75,7.5,90,28.75,48.75,26.25,1.25,20,55,22.5,21.25,12.5,3.75,3.75,0,0,1.25,2.5,3.75,3.75,3.75,50,11.25,45,8.75,5,57.5,35,17.5,16.25,3.75,1.25,57.5,88.75,73.75,77.5,21.25,82.5,37.5,82.5,61.25,80,15,47.5,4.9
1.2.2.6.1,Direttori e dirigenti generali di aziende nel settore dei trasporti e magazzinaggio,86.7647058824,27.9411764706,100,89.7058823529,94.1176470588,95.5882352941,83.8235294118,57.3529411765,70.5882352941,64.7058823529,75,47.0588235294,55.8823529412,10.2941176471,79.4117647059,26.4705882353,22.0588235294,4.4117647059,4.4117647059,20.5882352941,48.5294117647,4.4117647059,8.8235294118,0,0,0,0,0,0,1.4705882353,1.4705882353,0,2.9411764706,66.1764705882,0,33.8235294118,2.9411764706,1.4705882353,44.1176470588,22.0588235294,4.4117647059,27.9411764706,27.9411764706,2.9411764706,54.4117647059,75,73.5294117647,61.7647058824,27.9411764706,85.2941176471,36.7647058824,72.0588235294,47.0588235294,80.8823529412,22.0588235294,8.8235294118,3.8823529412
1.2.2.6.2,"Direttori e dirigenti generali di aziende nei servizi editoriali, di produzione cinematografica, radiofonica e televisiva",92.5,40,100,100,95,91.25,88.75,61.25,78.75,81.25,91.25,65,37.5,5,100,0,0,0,0,1.25,35,6.25,0,0,0,0,0,0,0,0,0,0,0,77.5,0,25,0,0,25,33.75,0,28.75,0,0,70,86.25,86.25,82.5,37.5,82.5,50,85,73.75,87.5,27.5,2.5,4.25
1.2.2.6.3,Direttori e dirigenti generali di aziende nei servizi informatici e di telecomunicazione,88.6363636364,31.8181818182,100,100,95.4545454545,90.9090909091,93.1818181818,77.2727272727,84.0909090909,68.1818181818,86.3636363636,50,40.9090909091,2.2727272727,100,2.2727272727,6.8181818182,4.5454545455,2.2727272727,20.4545454545,34.0909090909,6.8181818182,6.8181818182,2.2727272727,0,6.8181818182,0,0,0,4.5454545455,4.5454545455,4.5454545455,4.5454545455,77.2727272727,2.2727272727,25,2.2727272727,2.2727272727,29.5454545455,22.7272727273,2.2727272727,15.9090909091,2.2727272727,2.2727272727,56.8181818182,86.3636363636,88.6363636364,81.8181818182,29.5454545455,79.5454545455,47.7272727273,86.3636363636,65.9090909091,79.5454545455,13.6363636364,13.6363636364,3.7272727273
