up_new,Descrizione,C1a,C1B,C2a,C2b,C3a,C3b,C4a,C4b,C5a,C5b,C6a,C6b,C7a,C7b,C8a,C8b,C9a,C9b,C10a,C10b,C11a,C11b,C12a,C12b,C13a,C13b,C14a,C14b,C15a,C15b,C16a,C16b,C17a,C17b,C18a,C18b,C19a,C19b,C20a,C20b,C21a,C21b,C22a,C22b,C23a,C23b,C24a,C24b,C25a,C25b,C26a,C26b,C27a,C27b,C28a,C28b,C29a,C29b,C30a,C30b,C31a,C31b,C32a,C32b,C33a,C33b,C34a,C34b,C35a,C35b
1.1.2.5.0,Dirigenti scolastici ed equiparati,90.625,75,93.75,77.380952381,87.5,73.2142857143,91.6666666667,73.2142857143,38.5416666667,46.4285714286,38.5416666667,44.6428571429,85.4166666667,73.8095238095,82.2916666667,73.8095238095,79.1666666667,69.6428571429,88.5416666667,77.9761904762,81.25,72.619047619,83.3333333333,70.8332142857,62.5,61.3095238095,77.0833333333,69.6428571429,77.0833333333,70.2380952381,82.2916666667,72.0238095238,82.2916666667,70.2380952381,63.5416666667,57.7380952381,15.625,16.0714285714,53.125,55.9523809524,5.2083333333,7.1428571429,3.125,3.5714107143,42.7083333333,42.8571428571,3.125,3.5714107143,11.4583333333,9.5238095238,3.125,2.9761904762,26.0416666667,20.8333333333,2.0833333333,4.1666488095,31.25,29.7619047619,31.25,30.9523809524,78.125,68.4523809524,85.4166666667,74.4047619048,78.125,69.0476190476,59.375,57.7380952381,90.625,83.9285714286
1.1.2.6.1,"Dirigenti ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",86.7647058824,75.6302521008,80.8823529412,73.9495798319,86.7647058824,74.7899159664,88.2352941176,78.1512605042,33.8235294118,36.1344537815,39.7058823529,42.8571428571,79.4117647059,71.4285714286,83.8235294118,72.268907563,66.1764705882,63.025210084,80.8823529412,73.9495798319,76.4705882353,68.9075630252,89.7058823529,77.3109243697,70.5882352941,65.5462184874,83.8235294118,73.1092436975,69.1176470588,63.025210084,75,68.0672268908,83.8235294118,73.1092436975,70.5882352941,68.0672268908,22.0588235294,19.3277310924,61.7647058824,57.1428571429,5.8823529412,6.7226890756,10.2941176471,11.7647058824,44.1176470588,39.4957983193,0,0,23.5294117647,25.2100840336,0,0,35.2941176471,35.2941176471,0,0,51.4705882353,51.2605042017,48.5294117647,45.3781512605,72.0588235294,64.7058823529,86.7647058824,69.7478991597,86.7647058824,80.6721008403,66.1764705882,63.025210084,91.1764705882,81.512605042
1.1.2.6.2,Dirigenti ed equiparati delle università e degli enti di ricerca,93.4210526316,77.4436090226,90.7894736842,76.6917293233,90.7894736842,75.1879699248,89.4736842105,80.4511278195,48.6842105263,54.8872180451,30.2631578947,32.3308270677,82.8947368421,72.9321804511,77.6315789474,69.9248120301,65.7894736842,66.1654135338,82.8947368421,78.1954887218,68.4210526316,63.9097744361,84.2105263158,79.6992481203,69.7368421053,65.4135338346,76.3157894737,72.9323308271,64.4736842105,63.9097744361,71.0526315789,67.6691729323,85.5263157895,76.6917293233,64.4736842105,69.1729323308,21.0526315789,19.5488721805,40.7894736842,44.3609022556,3.9473684211,4.5112556391,22.3684210526,18.7969924812,31.5789473684,33.8345864662,0,0,7.8947368421,8.2706766917,0,0,27.6315789474,25.5639097744,0,0,35.5263157895,36.8421052632,42.1052631579,43.6090225564,84.2105263158,78.9473684211,81.5789473684,74.4360902256,77.6315789474,73.6842105263,51.3157894737,54.1353383459,85.5263157895,77.4436090226
1.1.2.6.3,Dirigenti ed equiparati nella sanità,93,80,85,78.2857142857,87,77.1428571429,87,77.7142857143,47,49.1428571429,47,47.4285714286,83,72.5714285714,80,72,55,54.8571428571,85,77.1427428571,72,67.4285714286,81,73.1428571429,65,62.8571428571,82,70.2857142857,64,62.2857142857,75,69.7142857143,84,70.8571428571,71,65.7142857143,26,25.7142857143,47,45.1428571429,7,9.1428571429,1,1.14284,41,38.8571428571,5,6.2857142857,6,9.14284,4,5.7142857143,16,14.2857142857,1,1.14284,44,43.4285714286,48,45.7142857143,72,64.5714285714,77,69.1428571429,66,60.5714285714,49,45.1428571429,82,73.7141714286
1.1.3.1.0,Dirigenti della magistratura ordinaria,92.6470588235,83.1932773109,92.6470588235,82.3529411765,92.6470588235,84.0336134454,86.7647058824,79.8317647059,25,30.2521008403,20.5882352941,24.3697478992,77.9411764706,73.9495798319,82.3529411765,79.8319327731,69.1176470588,61.3445378151,75,66.3865546218,70.5882352941,67.2268907563,85.2941176471,78.9915966387,58.8235294118,61.3445378151,66.1764705882,61.3445378151,61.7647058824,56.3025210084,70.5882352941,66.3865546218,83.8235294118,72.2687394958,52.9411764706,57.1428571429,14.7058823529,13.4453781513,25,26.0504201681,0,0,0,0,11.7647058824,11.7647058824,0,0,0,0,0,0,11.7647058824,12.6050420168,0,0,11.7647058824,10.9243697479,2.9411764706,3.3612941176,41.1764705882,36.974789916,67.6470588235,65.5462184874,11.7647058824,14.2857142857,25,24.3697478992,61.7647058824,56.3025210084
1.1.3.2.0,Dirigenti della magistratura amministrativa e delle giurisdizioni speciali,92.1052631579,84.2105263158,90.7894736842,84.962406015,90.7894736842,81.954887218,86.8421052632,83.4586466165,39.4736842105,37.5939849624,28.9473684211,30.8270676692,80.2631578947,80.4511278195,81.5789473684,74.4360902256,59.2105263158,57.8947368421,69.7368421053,69.1729323308,59.2105263158,55.6390977444,76.3157894737,75.1879699248,59.2105263158,63.1578947368,60.5263157895,60.1503759398,51.3157894737,50.3759398496,53.9473684211,59.3984962406,73.6842105263,71.4285714286,52.6315789474,60.1503759398,19.7368421053,24.8120300752,43.4210526316,46.6165413534,5.2631578947,8.2706766917,3.9473684211,4.5112781955,27.6315789474,27.0676691729,1.3157894737,1.5037593985,3.9473684211,4.5112330827,2.6315789474,5.2631578947,18.4210526316,18.045112782,1.3157894737,0.7518796992,28.9473684211,30.0751879699,31.5789473684,32.3308270677,51.3157894737,54.1353383459,76.3157894737,71.4285714286,38.1578947368,39.0977443609,40.7894736842,44.3609022556,57.8947368421,58.6466165414
1.1.4.1.1,Dirigenti di partiti e movimenti politici,93.4210526316,71.4285714286,92.1052631579,71.4285714286,94.7368421053,72.1804511278,97.3684210526,75.1879699248,18.4210526316,26.3157894737,5.2631578947,6.0150150376,77.6315789474,69.1729323308,61.8421052632,58.6466165414,43.4210526316,40.6015037594,56.5789473684,52.6315789474,89.4736842105,70.6766917293,78.9473684211,66.9172932331,71.0526315789,66.9172932331,73.6842105263,68.4210526316,47.3684210526,49.6240601504,60.5263157895,58.6466165414,67.1052631579,60.1503759398,55.2631578947,60.1503759398,10.5263157895,9.7744360902,26.3157894737,28.5714285714,1.3157894737,3.007518797,0,0,3.9473684211,5.2631353383,0,0,0,0,0,0,6.5789473684,7.5187744361,0,0,17.1052631579,18.045112782,15.7894736842,17.2932330827,56.5789473684,54.1353383459,78.9473684211,65.4135338346,63.1578947368,59.3984962406,32.8947368421,38.3458646617,65.7894736842,63.1578947368
1.1.4.1.2,Dirigenti di sindacati e altre organizzazioni a tutela di interessi economici e sociali,85,77.8571428571,86.25,78.5714285714,86.25,80,88.75,86.4285714286,45,52.1428571429,26.25,26.4285714286,78.75,81.4285714286,77.5,75,68.75,71.4285714286,71.25,73.5714285714,75,74.2857142857,82.5,77.8571428571,76.25,75,87.5,82.1428571429,71.25,71.4285714286,77.5,74.2857142857,77.5,75,63.75,60.7142857143,20,18.5714285714,45,42.8571428571,3.75,4.2857142857,3.75,3.5714285714,27.5,28.5714285714,1.25,1.4285714286,3.75,5.7142857143,1.25,1.4285714286,30,26.4285714286,2.5,2.8571428571,36.25,34.2857142857,35,35,57.5,56.4285714286,71.25,72.8571428571,58.75,60,46.25,50,63.75,65
1.1.4.2.0,"Dirigenti di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale",89.4736842105,75.1879699248,88.1578947368,78.1954887218,90.7894736842,75.9398496241,86.8421052632,74.4360902256,36.8421052632,39.0977443609,35.5263157895,35.3383458647,86.8421052632,73.6840601504,76.3157894737,67.6691729323,56.5789473684,58.6466165414,78.9473684211,72.1804511278,71.0526315789,71.4285714286,86.8421052632,78.9473684211,56.5789473684,63.9097744361,86.8421052632,75.9398496241,61.8421052632,67.6691729323,72.3684210526,68.4210526316,81.5789473684,76.6917293233,75,69.1729323308,17.1052631579,24.0601503759,55.2631578947,58.6466165414,5.2631578947,5.2631578947,13.1578947368,16.5413533835,28.9473684211,31.5789473684,2.6315789474,1.5037593985,5.2631578947,7.5187744361,3.9473684211,3.7593984962,31.5789473684,30.8270676692,2.6315789474,1.5037593985,28.9473684211,29.3233082707,32.8947368421,29.3233082707,72.3684210526,63.1578947368,73.6842105263,73.6842105263,85.5263157895,77.4436090226,50,51.8796992481,86.8421052632,77.4436090226
1.2.1.1.0,"Imprenditori e amministratori di grandi aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca",69.7368421053,62.4060150376,64.4736842105,59.3984962406,61.8421052632,59.3984962406,71.0526315789,60.1503759398,63.1578947368,57.8947368421,59.2105263158,49.6240601504,64.4736842105,54.1353383459,65.7894736842,55.6390977444,57.8947368421,52.6315789474,72.3684210526,60.9022556391,65.7894736842,60.9022556391,67.1052631579,60.9022556391,67.1052631579,58.6466165414,75,63.9097744361,61.8421052632,61.6541353383,56.5789473684,57.1428571429,67.1052631579,60.1503759398,69.7368421053,62.4060150376,36.8421052632,38.3458646617,56.5789473684,54.1353383459,27.6315789474,33.0827067669,5.2631578947,6.0150150376,47.3684210526,46.6165413534,27.6315789474,27.0676691729,32.8947368421,30.8270676692,30.2631578947,30.8270676692,43.4210526316,39.0977443609,25,24.8120300752,48.6842105263,48.1203007519,48.6842105263,49.6240601504,76.3157894737,66.9172932331,78.9473684211,67.6691729323,84.2105263158,72.9323308271,67.1052631579,66.1654135338,64.4736842105,68.4210526316
1.2.1.2.0,"Imprenditori e amministratori di grandi aziende che operano nell'estrazione dei minerali, nella manifattura, nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti",83.75,72.8571428571,80,70,73.75,65,85,75,57.5,52.8571428571,33.75,33.5714285714,82.5,74.2855714286,77.5,68.5714285714,53.75,53.5714285714,78.75,70,67.5,60,62.5,62.8571428571,56.25,52.8571428571,73.75,63.5714285714,62.5,57.8571428571,75,66.4285714286,78.75,67.1428571429,75,67.8571428571,42.5,40,45,47.8571428571,3.75,4.2856714286,0,0,45,41.4285714286,11.25,12.8571428571,33.75,30.7142857143,6.25,7.8571214286,35,35.7142857143,1.25,1.42855,52.5,50,52.5,47.1428571429,92.5,80.714,86.25,76.4285714286,91.25,82.1428571429,46.25,47.8571428571,80,75
1.2.1.3.0,Imprenditori e amministratori di grandi aziende di costruzioni,73.8095238095,64.6258503401,76.1904761905,69.387755102,64.2857142857,57.8231292517,69.0476190476,63.2653061224,41.6666666667,49.6598639456,29.7619047619,29.2517006803,69.0476190476,63.9455782313,73.8095238095,63.2653061224,44.0476190476,39.4557823129,69.0476190476,66.6666666667,61.9047619048,59.1836734694,66.6666666667,67.3469387755,59.5238095238,61.2244897959,73.8095238095,65.9863945578,53.5714285714,56.462585034,59.5238095238,59.8639455782,76.1904761905,67.3469387755,67.8571428571,63.9455782313,29.7619047619,25.8503401361,50,51.0204081633,16.6666666667,14.9659863946,3.5714285714,4.7618639456,34.5238095238,29.2517006803,16.6666666667,14.9659863946,16.6666666667,17.0068027211,15.4761904762,14.2857142857,40.4761904762,34.0136054422,2.380952381,3.4013401361,36.9047619048,34.693877551,41.6666666667,41.4965986395,78.5714285714,72.1088435374,79.7619047619,72.1088435374,89.2857142857,82.3127891156,61.9047619048,64.6258503401,75,72.7891156463
1.2.1.4.0,Imprenditori e amministratori di grandi aziende nel commercio,77.6315789474,64.6616541353,82.8947368421,69.9248120301,75,66.9172932331,85.5263157895,69.1729323308,51.3157894737,48.8721804511,30.2631578947,28.5714285714,77.6315789474,66.9172932331,73.6842105263,66.9172932331,61.8421052632,58.6466165414,78.9473684211,73.6842105263,69.7368421053,60.9022556391,77.6315789474,71.4285714286,75,66.9172932331,81.5789473684,69.1729323308,67.1052631579,55.6390977444,67.1052631579,57.8947368421,81.5789473684,61.6541353383,57.8947368421,56.3909774436,21.0526315789,18.045112782,48.6842105263,52.6315789474,5.2631578947,6.0150150376,5.2631578947,4.5112781955,25,21.0526315789,1.3157894737,1.5037593985,3.9473684211,3.7593759398,1.3157894737,1.5037368421,40.7894736842,41.3533834586,2.6315789474,2.2556390977,26.3157894737,27.0676691729,28.9473684211,30.8270676692,82.8947368421,76.6915789474,84.2105263158,73.6842105263,86.8421052632,80.4511278195,35.5263157895,39.0977443609,86.8421052632,77.4434586466
1.2.1.5.0,Imprenditori e amministratori di grandi aziende nei servizi di alloggio e ristorazione,86.8421052632,67.6691729323,84.2105263158,69.1729323308,69.7368421053,64.6616541353,81.5789473684,71.4285714286,64.4736842105,54.8872180451,31.5789473684,28.5714285714,75,62.4060150376,71.0526315789,62.4060150376,60.5263157895,52.6315789474,84.2105263158,72.1804511278,72.3684210526,63.1578947368,84.2105263158,68.4210526316,60.5263157895,60.1503759398,72.3684210526,63.9097744361,68.4210526316,62.4060150376,73.6842105263,60.9022556391,77.6315789474,63.1578947368,72.3684210526,61.6541353383,22.3684210526,21.8045112782,39.4736842105,39.8496240602,11.8421052632,9.022556391,2.6315789474,3.0074962406,47.3684210526,39.8496240602,14.4736842105,15.037593985,21.0526315789,18.045112782,14.4736842105,9.7744360902,34.2105263158,27.8195488722,3.9473684211,3.7593759398,42.1052631579,36.0902255639,43.4210526316,39.0977443609,85.5263157895,69.9245112782,81.5789473684,68.4210526316,92.1052631579,78.9473684211,51.3157894737,48.8721804511,84.2105263158,72.9323308271
1.2.1.6.1,Imprenditori e amministratori di grandi aziende nel settore dei trasporti e magazzinaggio,73.75,63.5714285714,75,64.2857142857,71.25,57.8571428571,72.5,62.1428571429,52.5,48.5714285714,17.5,18.5714285714,57.5,51.4285714286,55,55.7142857143,45,44.2857142857,73.75,65,70,61.4285714286,70,62.8571428571,60,51.4285714286,70,58.5714285714,53.75,48.5714285714,68.75,57.1428571429,68.75,60,58.75,55.7142857143,25,20.7142857143,45,40.7142857143,15,9.2857142857,1.25,1.42855,42.5,37.8571428571,16.25,15.7142857143,28.75,29.2857142857,22.5,20,45,38.5714285714,15,13.5714285714,43.75,37.8571428571,45,43.5714285714,82.5,65.7142857143,72.5,60.7142857143,77.5,67.8571428571,46.25,42.1428571429,78.75,71.4285714286
1.2.1.6.2,"Imprenditori e amministratori di grandi aziende nei servizi editoriali, di produzione cinematografica, radiofonica e televisiva",92.5,77.1428571429,91.25,78.5714285714,88.75,73.5714285714,87.5,75.7142857143,60,56.4285714286,32.5,32.8571428571,85,75,80,72.8571428571,63.75,58.5714285714,83.75,77.1428571429,80,75.7142857143,81.25,73.5714285714,78.75,74.2857142857,83.75,74.2857142857,75,69.2857142857,76.25,68.5714285714,88.75,69.2857142857,75,70,26.25,26.4285714286,41.25,42.8571428571,2.5,2.1428571429,2.5,2.1428571429,20,20.7142857143,1.25,1.42855,2.5,2.8571428571,5,5.7142857143,18.75,15.7142857143,3.75,4.2857142857,21.25,18.5714285714,32.5,30,85,72.1427142857,86.25,73.5714285714,86.25,77.1428571429,55,52.8571428571,88.75,77.8571428571
