up_new,Descrizione,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
2.6.5.4.0,Consiglieri dell'orientamento,80.2631578947,76.3157894737,81.5789473684,67.1052631579,78.9473684211,94.7368421053,69.7368421053,92.1052631579,86.8421052632,88.1578947368,92.1052631579,80.2631578947,92.1052631579,69.7368421053,78.9473684211,81.5789473684
2.6.5.5.1,Insegnanti di arti figurative,80,73.75,75,77.5,76.25,73.75,61.25,82.5,78.75,87.5,82.5,78.75,71.25,72.5,86.25,75
2.6.5.5.2,Insegnanti di danza,77.8846153846,67.3076923077,78.8461538462,80.7692307692,75,75,55.7692307692,79.8076923077,75.9615384615,77.8846153846,80.7692307692,78.8461538462,78.8461538462,73.0769230769,77.8846153846,68.2692307692
2.6.5.5.3,Insegnanti di canto,80.2631578947,73.6842105263,73.6842105263,72.3684210526,67.1052631579,81.5789473684,56.5789473684,80.2631578947,73.6842105263,65.7894736842,88.1578947368,81.5789473684,82.8947368421,67.1052631579,75,64.4736842105
2.6.5.5.4,Insegnanti di strumenti musicali,76.1904761905,78.5714285714,80.9523809524,64.2857142857,69.0476190476,79.7619047619,61.9047619048,83.3333333333,76.1904761905,71.4285714286,83.3333333333,80.9523809524,80.9523809524,73.8095238095,75,72.619047619
2.6.5.5.5,Insegnanti di lingue,77.5,68.75,65,56.25,72.5,80,43.75,80,77.5,67.5,87.5,73.75,77.5,53.75,62.5,48.75
3.1.1.1.1,Tecnici geologici,68.0555555556,65.2777777778,68.0555555556,45.8333333333,56.9444444444,29.1666666667,51.3888888889,56.9444444444,63.8888888889,68.0555555556,80.5555555556,72.2222222222,79.1666666667,62.5,50,63.8888888889
3.1.1.1.2,Tecnici fisici e nucleari,80,76.25,73.75,53.75,76.25,48.75,71.25,63.75,58.75,75,78.75,77.5,65,65,73.75,82.5
3.1.1.2.0,Tecnici chimici,76.1904761905,69.0476190476,66.6666666667,50,67.8571428571,47.619047619,41.6666666667,72.619047619,77.380952381,65.4761904762,83.3333333333,77.380952381,75,60.7142857143,66.6666666667,73.8095238095
3.1.1.3.0,Tecnici statistici,85,75,76,46,82,65,66,75,75,81,92,91,80,66,62,83
3.1.2.1.0,Tecnici programmatori,70,73.75,76.25,50,78.75,45,53.75,73.75,77.5,75,78.75,81.25,65,57.5,65,75
3.1.2.2.0,Tecnici esperti in applicazioni,71.7391304348,67.3913043478,68.4782608696,44.5652173913,76.0869565217,40.2173913043,64.1304347826,69.5652173913,79.347826087,64.1304347826,81.5217391304,75,58.6956521739,54.347826087,59.7826086957,80.4347826087
3.1.2.3.0,Tecnici web,78.75,76.25,75,33.75,63.75,33.75,45,63.75,67.5,68.75,81.25,88.75,71.25,67.5,82.5,83.75
3.1.2.4.0,Tecnici gestori di basi di dati,73.6842105263,68.4210526316,68.4210526316,36.8421052632,68.4210526316,34.2105263158,57.8947368421,59.2105263158,64.4736842105,71.0526315789,88.1578947368,85.5263157895,64.4736842105,65.7894736842,67.1052631579,77.6315789474
3.1.2.5.0,Tecnici gestori di reti e di sistemi telematici,75,67.0454545455,70.4545454545,55.6818181818,70.4545454545,48.8636363636,63.6363636364,65.9090909091,72.7272727273,68.1818181818,79.5454545455,75,62.5,61.3636363636,69.3181818182,76.1363636364
3.1.2.6.1,Tecnici per le telecomunicazioni,72.5,73.75,63.75,53.75,75,52.5,65,71.25,73.75,72.5,77.5,77.5,68.75,67.5,65,66.25
3.1.2.6.2,Tecnici delle trasmissioni radio-televisive,58.75,56.25,65,41.25,68.75,48.75,56.25,76.25,70,67.5,77.5,73.75,55,56.25,61.25,63.75
3.1.3.1.0,Tecnici meccanici,65.4761904762,69.0476190476,70.2380952381,51.1904761905,75,44.0476190476,70.2380952381,66.6666666667,65.4761904762,63.0952380952,77.380952381,78.5714285714,63.0952380952,58.3333333333,64.2857142857,69.0476190476
3.1.3.2.1,Tecnici dei prodotti ceramici,90.7894736842,89.4736842105,82.8947368421,69.7368421053,81.5789473684,56.5789473684,82.8947368421,81.5789473684,85.5263157895,80.2631578947,93.4210526316,88.1578947368,77.6315789474,71.0526315789,81.5789473684,82.8947368421
3.1.3.2.2,Tecnici minerari,82.8125,79.6875,81.25,78.125,73.4375,56.25,70.3125,89.0625,81.25,82.8125,92.1875,82.8125,76.5625,75,70.3125,79.6875
3.1.3.2.3,Tecnici metallurgici,78.75,76.25,77.5,70,78.75,61.25,67.5,73.75,72.5,75,82.5,75,85,71.25,73.75,76.25
3.1.3.3.0,Elettrotecnici,82.6923076923,82.6923076923,80.7692307692,63.4615384615,84.6153846154,67.3076923077,76.9230769231,82.6923076923,75,86.5384615385,92.3076923077,86.5384615385,80.7692307692,67.3076923077,76.9230769231,88.4615384615
3.1.3.4.0,Tecnici elettronici,79.5454545455,73.8636363636,78.4090909091,61.3636363636,67.0454545455,48.8636363636,51.1363636364,64.7727272727,68.1818181818,68.1818181818,75,78.4090909091,64.7727272727,68.1818181818,72.7272727273,70.4545454545
3.1.3.5.0,Tecnici delle costruzioni civili e professioni assimilate,75,71.0526315789,76.3157894737,71.0526315789,72.3684210526,48.6842105263,52.6315789474,80.2631578947,81.5789473684,75,80.2631578947,72.3684210526,77.6315789474,60.5263157895,43.4210526316,68.4210526316
3.1.3.6.0,Tecnici del risparmio energetico e delle energie rinnovabili,78.3333333333,80,75,68.3333333333,70,53.3333333333,63.3333333333,80,78.3333333333,71.6666666667,86.6666666667,80,78.3333333333,75,56.6666666667,75
3.1.3.7.1,Disegnatori tecnici,86.4583333333,77.0833333333,82.2916666667,50,75,44.7916666667,50,71.875,76.0416666667,75,89.5833333333,91.6666666667,73.9583333333,73.9583333333,85.4166666667,86.4583333333
3.1.3.7.2,Disegnatori tessili,75,44.1176470588,70.5882352941,42.6470588235,51.4705882353,38.2352941176,51.4705882353,47.0588235294,47.0588235294,51.4705882353,75,92.6470588235,58.8235294118,67.6470588235,83.8235294118,61.7647058824
3.1.3.7.3,Rilevatori e disegnatori di prospezioni,72.3684210526,67.1052631579,64.4736842105,46.0526315789,57.8947368421,23.6842105263,38.1578947368,55.2631578947,61.8421052632,68.4210526316,76.3157894737,75,68.4210526316,59.2105263158,43.4210526316,63.1578947368
3.1.4.1.1,Tecnici della conduzione e del controllo di impianti di produzione dei metalli,65.625,59.375,56.25,56.25,67.1875,40.625,56.25,64.0625,65.625,71.875,71.875,67.1875,60.9375,65.625,43.75,62.5
3.1.4.1.2,Tecnici della conduzione e del controllo di impianti chimici,72.619047619,61.9047619048,59.5238095238,61.9047619048,77.380952381,52.380952381,58.3333333333,82.1428571429,76.1904761905,72.619047619,82.1428571429,78.5714285714,77.380952381,64.2857142857,51.1904761905,72.619047619
3.1.4.1.3,Tecnici della conduzione e del controllo di impianti di produzione della carta,70,67.5,65,65,77.5,60,75,70,70,75,80,65,77.5,52.5,62.5,60
3.1.4.1.4,Tecnici della conduzione e del controllo di impianti di trattamento delle acque,78.5714285714,63.0952380952,67.8571428571,63.0952380952,77.380952381,52.380952381,72.619047619,63.0952380952,65.4761904762,65.4761904762,78.5714285714,66.6666666667,75,51.1904761905,36.9047619048,60.7142857143
3.1.4.1.5,Tecnici della conduzione e del controllo di catene di montaggio automatiche,62.5,62.5,62.5,62.5,62.5,62.5,62.5,75,62.5,62.5,75,62.5,62.5,62.5,62.5,75
3.1.4.2.1,Tecnici della produzione di energia termica ed elettrica,72.7272727273,73.8636363636,77.2727272727,72.7272727273,72.7272727273,48.8636363636,60.2272727273,76.1363636364,75,62.5,80.6818181818,70.4545454545,69.3181818182,60.2272727273,45.4545454545,68.1818181818
3.1.4.2.2,Tecnici dell'esercizio di reti idriche e di altri fluidi,72.5,68.75,76.25,71.25,75,52.5,72.5,80,76.25,72.5,80,80,81.25,71.25,56.25,68.75
3.1.4.2.3,Tecnici dell'esercizio di reti di distribuzione di energia elettrica,67.8571428571,67.8571428571,65.4761904762,46.4285714286,70.2380952381,46.4285714286,67.8571428571,75,73.8095238095,65.4761904762,73.8095238095,71.4285714286,65.4761904762,54.7619047619,44.0476190476,63.0952380952
3.1.5.1.0,Tecnici di produzione in miniere e cave,68.2692307692,58.6538461538,66.3461538462,65.3846153846,66.3461538462,55.7692307692,59.6153846154,71.1538461538,70.1923076923,65.3846153846,75.9615384615,61.5384615385,75.9615384615,54.8076923077,46.1538461538,52.8846153846
