up_new,Descrizione,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
5.1.1.1.0,Esercenti delle vendite all'ingrosso,72.8260869565,69.5652173913,81.5217391304,61.9565217391,73.9130434783,61.9565217391,57.6086956522,78.2608695652,66.3043478261,76.0869565217,83.6956521739,71.7391304348,76.0869565217,72.8260869565,54.347826087,59.7826086957
5.1.1.2.1,Esercenti delle vendite al minuto in negozi,73.4375,64.84375,67.1875,40.625,57.8125,53.125,41.40625,80.46875,77.34375,60.9375,73.4375,75,80.46875,64.84375,54.6875,48.4375
5.1.1.2.2,Esercenti delle vendite al minuto nei mercati e in posti assegnati,65.7894736842,64.4736842105,68.4210526316,46.0526315789,50,48.6842105263,25,71.0526315789,68.4210526316,60.5263157895,80.2631578947,71.0526315789,72.3684210526,75,56.5789473684,48.6842105263
5.1.1.3.0,Esercenti di distributori di carburanti ed assimilati,65.625,56.25,60.4166666667,50,61.4583333333,50,44.7916666667,81.25,76.0416666667,59.375,81.25,58.3333333333,85.4166666667,70.8333333333,46.875,52.0833333333
5.1.2.1.0,Commessi delle vendite all'ingrosso,70,67.5,68.75,42.5,65,43.75,42.5,71.25,70,67.5,77.5,70,78.75,60,51.25,53.75
5.1.2.2.0,Commessi delle vendite al minuto,45,28.75,30,8.75,46.25,32.5,35,63.75,57.5,38.75,61.25,56.25,58.75,37.5,17.5,15
5.1.2.3.0,Addetti ad attività organizzative delle vendite,70,66.25,72.5,71.25,77.5,62.5,62.5,81.25,82.5,73.75,83.75,78.75,81.25,53.75,58.75,56.25
5.1.2.4.0,Cassieri di esercizi commerciali,48.9130434783,42.3913043478,39.1304347826,15.2173913043,47.8260869565,40.2173913043,43.4782608696,77.1739130435,69.5652173913,59.7826086957,71.7391304348,69.5652173913,79.347826087,41.3043478261,20.652173913,36.9565217391
5.1.2.5.1,Venditori a domicilio,70.2380952381,64.2857142857,75,52.380952381,53.5714285714,67.8571428571,54.7619047619,66.6666666667,65.4761904762,67.8571428571,76.1904761905,63.0952380952,69.0476190476,69.0476190476,65.4761904762,51.1904761905
5.1.2.5.2,Venditori a distanza,70,60,48.75,13.75,51.25,33.75,40,75,76.25,66.25,72.5,71.25,55,23.75,31.25,30
5.1.2.6.0,Addetti ai distributori di carburanti ed assimilati,61.9047619048,46.4285714286,48.8095238095,27.380952381,66.6666666667,64.2857142857,44.0476190476,75,70.2380952381,65.4761904762,77.380952381,67.8571428571,84.5238095238,54.7619047619,25,39.2857142857
5.1.3.1.0,"Indossatori, modelli e professioni assimilate",67.1052631579,67.1052631579,48.6842105263,18.4210526316,65.7894736842,34.2105263158,50,81.5789473684,82.8947368421,81.5789473684,82.8947368421,81.5789473684,42.1052631579,46.0526315789,30.2631578947,47.3684210526
5.1.3.2.0,Dimostratori e professioni assimilate,76.5625,73.4375,67.1875,46.875,50,57.8125,32.8125,71.875,68.75,67.1875,65.625,59.375,65.625,60.9375,45.3125,42.1875
5.1.3.3.0,Vetrinisti e professioni assimilate,64.5833333333,62.5,72.9166666667,43.75,64.5833333333,45.8333333333,47.9166666667,50,60.4166666667,58.3333333333,70.8333333333,85.4166666667,66.6666666667,64.5833333333,72.9166666667,66.6666666667
5.1.3.4.0,Addetti all'informazione e all'assistenza dei clienti,69.3181818182,65.9090909091,64.7727272727,46.5909090909,68.1818181818,55.6818181818,54.5454545455,81.8181818182,77.2727272727,65.9090909091,79.5454545455,75,79.5454545455,50,40.9090909091,60.2272727273
5.2.1.1.0,Esercenti nelle attività ricettive,70,73.75,77.5,72.5,78.75,63.75,61.25,83.75,77.5,73.75,81.25,75,83.75,71.25,66.25,66.25
5.2.2.1.0,Cuochi in alberghi e ristoranti,72.1153846154,66.3461538462,66.3461538462,59.6153846154,75,48.0769230769,73.0769230769,72.1153846154,75,65.3846153846,78.8461538462,75.9615384615,71.1538461538,47.1153846154,69.2307692308,50.9615384615
5.2.2.2.1,Addetti alla preparazione e alla cottura di cibi in imprese per la ristorazione collettiva,70.2380952381,59.5238095238,71.4285714286,52.380952381,77.380952381,48.8095238095,65.4761904762,77.380952381,67.8571428571,61.9047619048,84.5238095238,78.5714285714,83.3333333333,39.2857142857,51.1904761905,53.5714285714
5.2.2.2.2,"Addetti alla preparazione, alla cottura e alla vendita di cibi in fast food, tavole calde, rosticcerie ed esercizi assimilati",60.4166666667,56.25,59.375,41.6666666667,72.9166666667,47.9166666667,65.625,83.3333333333,77.0833333333,63.5416666667,76.0416666667,72.9166666667,78.125,53.125,34.375,46.875
5.2.2.2.3,Addetti al banco nei servizi di ristorazione,59.2105263158,46.0526315789,51.3157894737,36.8421052632,80.2631578947,65.7894736842,64.4736842105,80.2631578947,71.0526315789,71.0526315789,80.2631578947,78.9473684211,77.6315789474,52.6315789474,34.2105263158,43.4210526316
5.2.2.3.1,Camerieri di albergo,66.6666666667,62.5,55.5555555556,44.4444444444,73.6111111111,55.5555555556,58.3333333333,79.1666666667,76.3888888889,73.6111111111,83.3333333333,83.3333333333,80.5555555556,55.5555555556,43.0555555556,45.8333333333
5.2.2.3.2,Camerieri di ristorante,65.9090909091,54.5454545455,50,37.5,70.4545454545,48.8636363636,65.9090909091,78.4090909091,73.8636363636,53.4090909091,70.4545454545,72.7272727273,63.6363636364,35.2272727273,30.6818181818,40.9090909091
5.2.2.4.0,Baristi e professioni assimilate,58.3333333333,55.9523809524,61.9047619048,30.9523809524,64.2857142857,51.1904761905,44.0476190476,79.7619047619,79.7619047619,59.5238095238,76.1904761905,65.4761904762,79.7619047619,47.619047619,53.5714285714,38.0952380952
5.2.2.5.1,"Esercenti di ristoranti, fast food, pizzerie ed esercizi assimilati",72.7272727273,71.5909090909,73.8636363636,70.4545454545,70.4545454545,43.1818181818,67.0454545455,80.6818181818,80.6818181818,68.1818181818,77.2727272727,79.5454545455,84.0909090909,73.8636363636,57.9545454545,47.7272727273
5.2.2.5.2,Esercenti di attività di ristorazione nei mercati e in posti assegnati,57.1428571429,57.1428571429,58.3333333333,46.4285714286,40.4761904762,30.9523809524,26.1904761905,72.619047619,70.2380952381,59.5238095238,60.7142857143,64.2857142857,57.1428571429,59.5238095238,39.2857142857,26.1904761905
5.2.3.1.1,Assistenti di volo,96.25,92.5,90,87.5,97.5,95,100,98.75,98.75,96.25,97.5,92.5,90,45,36.25,90
5.2.3.1.2,Assistenti di viaggio e crociera,96.0526315789,92.1052631579,78.9473684211,80.2631578947,90.7894736842,96.0526315789,82.8947368421,96.0526315789,94.7368421053,96.0526315789,96.0526315789,90.7894736842,86.8421052632,88.1578947368,69.7368421053,94.7368421053
5.2.3.1.3,Assistenti congressuali e fieristici,69.4444444444,66.6666666667,61.1111111111,47.2222222222,80.5555555556,79.1666666667,77.7777777778,86.1111111111,84.7222222222,80.5555555556,86.1111111111,79.1666666667,68.0555555556,56.9444444444,36.1111111111,50
5.2.3.2.0,Accompagnatori turistici,81.25,78.75,72.5,85,86.25,87.5,56.25,93.75,90,87.5,91.25,86.25,88.75,80,63.75,80
5.3.1.1.0,Professioni qualificate nei servizi sanitari e sociali,67.8571428571,54.7619047619,58.3333333333,36.9047619048,72.619047619,75,77.380952381,78.5714285714,76.1904761905,63.0952380952,73.8095238095,70.2380952381,72.619047619,44.0476190476,42.8571428571,48.8095238095
5.4.1.1.0,Maestri di arti e mestieri,64.4736842105,59.2105263158,68.4210526316,61.8421052632,68.4210526316,63.1578947368,60.5263157895,64.4736842105,60.5263157895,63.1578947368,73.6842105263,72.3684210526,68.4210526316,55.2631578947,65.7894736842,67.1052631579
5.4.2.1.1,Esercenti di cinema e teatri,76.25,78.75,72.5,71.25,65,58.75,60,78.75,81.25,76.25,80,73.75,78.75,67.5,73.75,67.5
5.4.2.1.2,Esercenti di locali notturni,76.5625,81.25,84.375,73.4375,75,64.0625,68.75,78.125,75,79.6875,84.375,78.125,78.125,71.875,78.125,76.5625
5.4.2.1.3,Esercenti di attività ricreative,59.7222222222,62.5,70.8333333333,66.6666666667,65.2777777778,68.0555555556,56.9444444444,73.6111111111,69.4444444444,63.8888888889,69.4444444444,65.2777777778,66.6666666667,55.5555555556,50,48.6111111111
5.4.2.1.4,Esercenti di attività sportive,77.2727272727,78.4090909091,78.4090909091,78.4090909091,75,57.9545454545,53.4090909091,75,76.1363636364,65.9090909091,75,70.4545454545,70.4545454545,59.0909090909,61.3636363636,57.9545454545
5.4.2.1.5,Esercenti di sale scommesse,58.6956521739,45.652173913,59.7826086957,45.652173913,58.6956521739,33.6956521739,46.7391304348,76.0869565217,79.347826087,58.6956521739,75,63.0434782609,80.4347826087,57.6086956522,46.7391304348,39.1304347826
5.4.2.2.1,Allibratori,55,48.75,60,32.5,57.5,47.5,40,82.5,77.5,66.25,85,83.75,78.75,67.5,23.75,58.75
5.4.2.2.2,Croupiers,54.4117647059,41.1764705882,45.5882352941,19.1176470588,73.5294117647,50,64.7058823529,83.8235294118,79.4117647059,67.6470588235,82.3529411765,61.7647058824,73.5294117647,39.7058823529,20.5882352941,33.8235294118
5.4.2.2.3,Ricevitori,52.380952381,41.6666666667,47.619047619,21.4285714286,47.619047619,29.7619047619,39.2857142857,72.619047619,71.4285714286,47.619047619,73.8095238095,66.6666666667,65.4761904762,40.4761904762,23.8095238095,38.0952380952
5.4.2.3.0,"Astrologi, preveggenti, chiromanti e professioni assimilate",79.5454545455,81.8181818182,75,54.5454545455,77.2727272727,84.0909090909,20.4545454545,88.6363636364,75,75,86.3636363636,84.0909090909,86.3636363636,79.5454545455,75,72.7272727273
5.4.3.1.0,Acconciatori,61.25,61.25,70,55,61.25,58.75,50,76.25,82.5,76.25,78.75,78.75,68.75,62.5,75,47.5
5.4.3.2.0,Estetisti e truccatori,78.5714285714,73.8095238095,69.0476190476,54.7619047619,53.5714285714,67.8571428571,27.380952381,80.9523809524,83.3333333333,73.8095238095,75,79.7619047619,73.8095238095,66.6666666667,70.2380952381,55.9523809524
5.4.3.3.0,Massaggiatori ed operatori termali,70.4545454545,65.9090909091,54.5454545455,27.2727272727,63.6363636364,69.3181818182,44.3181818182,79.5454545455,70.4545454545,65.9090909091,82.9545454545,75,75,45.4545454545,31.8181818182,44.3181818182
5.4.4.1.0,Personale di compagnia e personale qualificato di servizio alle famiglie,63.0952380952,65.4761904762,44.0476190476,21.4285714286,54.7619047619,83.3333333333,9.5238095238,82.1428571429,78.5714285714,75,88.0952380952,83.3333333333,80.9523809524,67.8571428571,20.2380952381,44.0476190476
5.4.4.2.0,Addetti alla sorveglianza di bambini e professioni assimilate,77.2727272727,69.3181818182,76.1363636364,64.7727272727,78.4090909091,87.5,71.5909090909,86.3636363636,89.7727272727,80.6818181818,89.7727272727,86.3636363636,80.6818181818,64.7727272727,73.8636363636,67.0454545455
5.4.4.3.0,Addetti all'assistenza personale,71.5909090909,72.7272727273,51.1363636364,28.4090909091,64.7727272727,84.0909090909,43.1818181818,82.9545454545,79.5454545455,78.4090909091,82.9545454545,73.8636363636,79.5454545455,61.3636363636,44.3181818182,42.0454545455
5.4.5.1.0,Addestratori di animali,79.7619047619,79.7619047619,77.380952381,75,69.0476190476,67.8571428571,38.0952380952,82.1428571429,70.2380952381,76.1904761905,82.1428571429,77.380952381,79.7619047619,79.7619047619,67.8571428571,67.8571428571
5.4.5.2.0,Custodi e allevatori di animali domestici e da esposizione,71.5909090909,69.3181818182,67.0454545455,52.2727272727,68.1818181818,54.5454545455,53.4090909091,72.7272727273,73.8636363636,71.5909090909,81.8181818182,78.4090909091,78.4090909091,73.8636363636,57.9545454545,64.7727272727
5.4.6.1.0,Esercenti di agenzie per il disbrigo di pratiche ed assimilate,59.5238095238,60.7142857143,52.380952381,42.8571428571,51.1904761905,38.0952380952,34.5238095238,73.8095238095,75,63.0952380952,82.1428571429,75,80.9523809524,63.0952380952,25,48.8095238095
5.4.6.2.0,Addetti di agenzie per il disbrigo di pratiche e professioni assimilate,66.25,60,53.75,31.25,60,50,38.75,75,76.25,63.75,82.5,78.75,77.5,56.25,38.75,57.5
5.4.7.1.0,Esercenti di agenzie di pompe funebri,68.4782608696,43.4782608696,54.347826087,52.1739130435,66.3043478261,76.0869565217,41.3043478261,85.8695652174,75,61.9565217391,86.9565217391,86.9565217391,85.8695652174,59.7826086957,40.2173913043,51.0869565217
5.4.7.2.0,Addetti alle agenzie di pompe funebri,55.9523809524,57.1428571429,52.380952381,40.4761904762,59.5238095238,66.6666666667,48.8095238095,76.1904761905,67.8571428571,60.7142857143,72.619047619,72.619047619,69.0476190476,41.6666666667,29.7619047619,34.5238095238
5.4.8.1.0,Personale di guardiania territoriale,70.3125,70.3125,71.875,46.875,75,68.75,73.4375,81.25,79.6875,76.5625,87.5,78.125,90.625,50,50,71.875
5.4.8.2.0,Vigili urbani,73.75,71.25,66.25,42.5,78.75,78.75,77.5,90,85,83.75,85,78.75,92.5,65,58.75,75
5.4.8.3.1,Agenti della Polizia di Stato,81.5789473684,81.5789473684,83.5526315789,73.0263157895,84.8684210526,84.8684210526,84.8684210526,94.7368421053,92.1052631579,92.1052631579,92.1052631579,87.5,94.0789473684,76.9736842105,69.7368421053,79.6052631579
5.4.8.3.2,Agenti della Guardia di Finanza,71.6666666667,68.3333333333,70,56.6666666667,66.6666666667,58.3333333333,71.6666666667,71.6666666667,71.6666666667,68.3333333333,73.3333333333,71.6666666667,86.6666666667,48.3333333333,53.3333333333,70
5.4.8.3.3,Agenti del corpo forestale,66.25,65,67.5,47.5,70,63.75,67.5,82.5,76.25,65,71.25,71.25,77.5,43.75,45,63.75
5.4.8.4.1,Vigili del fuoco,69.7368421053,76.3157894737,67.7631578947,51.3157894737,78.2894736842,75.6578947368,84.8684210526,86.1842105263,82.2368421053,76.9736842105,84.8684210526,80.2631578947,83.5526315789,46.7105263158,53.9473684211,67.1052631579
5.4.8.4.2,Personale delle squadre antincendio,75,78.5714285714,80.3571428571,55.3571428571,98.2142857143,91.0714285714,94.6428571429,92.8571428571,94.6428571429,91.0714285714,94.6428571429,91.0714285714,89.2857142857,33.9285714286,58.9285714286,87.5
5.4.8.5.0,Agenti di istituti di pena e rieducazione,72.619047619,71.4285714286,67.8571428571,51.1904761905,73.8095238095,71.4285714286,73.8095238095,92.8571428571,90.4761904762,79.7619047619,84.5238095238,76.1904761905,91.6666666667,44.0476190476,40.4761904762,61.9047619048
5.4.8.6.0,Guardie private di sicurezza,52.5,56.25,48.75,35,63.75,41.25,61.25,87.5,82.5,71.25,91.25,81.25,92.5,35,25,53.75
5.4.8.7.0,Bagnini e professioni assimilate,66.6666666667,67.8571428571,65.4761904762,51.1904761905,67.8571428571,71.4285714286,63.0952380952,82.1428571429,77.380952381,57.1428571429,77.380952381,58.3333333333,69.0476190476,57.1428571429,29.7619047619,42.8571428571
5.4.8.8.0,Esercenti di garage ed autorimesse,47.619047619,39.2857142857,41.6666666667,21.4285714286,38.0952380952,33.3333333333,21.4285714286,67.8571428571,55.9523809524,53.5714285714,79.7619047619,51.1904761905,72.619047619,59.5238095238,29.7619047619,33.3333333333
6.1.1.1.0,Brillatori e artificieri in cave e miniere,60,53.75,56.25,36.25,55,38.75,50,75,70,56.25,73.75,75,70,52.5,43.75,45
6.1.1.2.0,"Tagliatori e levigatori di pietre, scalpellini e marmisti",67.5,63.75,65,40,65,47.5,53.75,71.25,77.5,70,72.5,77.5,75,67.5,66.25,65
6.1.1.3.0,Coltivatori di saline,72.2222222222,70.8333333333,59.7222222222,40.2777777778,69.4444444444,58.3333333333,66.6666666667,70.8333333333,62.5,62.5,81.9444444444,81.9444444444,80.5555555556,59.7222222222,44.4444444444,55.5555555556
6.1.2.1.0,Muratori in pietra e mattoni,64,55,50,31,64,28,61,62,60,59,71,73,67,46,35,32
6.1.2.2.1,Casseronisti/Cassonisti,56.5789473684,55.2631578947,53.9473684211,22.3684210526,52.6315789474,27.6315789474,50,59.2105263158,51.3157894737,51.3157894737,64.4736842105,61.8421052632,63.1578947368,44.7368421053,30.2631578947,34.2105263158
6.1.2.2.2,Muratori e formatori in calcestruzzo,57.5,50,36.25,21.25,58.75,27.5,61.25,60,56.25,57.5,73.75,71.25,63.75,37.5,26.25,32.5
6.1.2.3.0,Carpentieri e falegnami edili,72.619047619,64.2857142857,59.5238095238,34.5238095238,75,40.4761904762,71.4285714286,69.0476190476,58.3333333333,63.0952380952,76.1904761905,73.8095238095,72.619047619,51.1904761905,34.5238095238,51.1904761905
6.1.2.4.0,Ponteggiatori,69.0476190476,60.7142857143,53.5714285714,32.1428571429,78.5714285714,42.8571428571,75,70.2380952381,67.8571428571,67.8571428571,82.1428571429,75,75,45.2380952381,28.5714285714,45.2380952381
6.1.2.5.1,Armatori di gallerie e pozzi,53.125,53.125,43.75,40.625,50,46.875,56.25,62.5,65.625,56.25,59.375,62.5,56.25,25,28.125,28.125
6.1.2.5.2,Armatori di ferrovie,81.25,81.25,47.9166666667,52.0833333333,87.5,45.8333333333,81.25,87.5,85.4166666667,81.25,85.4166666667,75,60.4166666667,35.4166666667,35.4166666667,62.5
6.1.2.6.1,Asfaltisti,64.7727272727,54.5454545455,36.3636363636,30.6818181818,68.1818181818,40.9090909091,79.5454545455,62.5,69.3181818182,59.0909090909,63.6363636364,55.6818181818,65.9090909091,43.1818181818,26.1363636364,36.3636363636
6.1.2.6.2,Lastricatori e pavimentatori stradali,61.25,56.25,41.25,16.25,75,38.75,68.75,67.5,67.5,57.5,63.75,58.75,65,33.75,23.75,31.25
6.1.2.7.0,Montatori di manufatti prefabbricati e di preformati,66.25,58.75,57.5,50,57.5,43.75,58.75,65,61.25,58.75,72.5,65,60,50,42.5,52.5
6.1.3.1.0,Copritetti e impermeabilizzatori di solai,67.5,62.5,63.75,46.25,71.25,56.25,68.75,72.5,72.5,70,75,70,61.25,50,52.5,61.25
6.1.3.2.1,Posatori di pavimenti,80.9523809524,72.619047619,71.4285714286,34.5238095238,67.8571428571,38.0952380952,44.0476190476,69.0476190476,71.4285714286,67.8571428571,72.619047619,82.1428571429,66.6666666667,67.8571428571,44.0476190476,50
6.1.3.2.2,Rifinitori di pavimenti,65.2777777778,58.3333333333,52.7777777778,36.1111111111,56.9444444444,33.3333333333,43.0555555556,69.4444444444,68.0555555556,61.1111111111,77.7777777778,86.1111111111,63.8888888889,52.7777777778,55.5555555556,58.3333333333
6.1.3.2.3,Piastrellisti e rivestimentisti in pietra e materiali assimilati,75,57.1428571429,51.1904761905,33.3333333333,51.1904761905,41.6666666667,35.7142857143,50,53.5714285714,61.9047619048,82.1428571429,84.5238095238,65.4761904762,58.3333333333,44.0476190476,42.8571428571
6.1.3.2.4,Parchettisti e posatori di pavimenti e rivestimenti sintetici e in legno,70.4545454545,57.9545454545,59.0909090909,38.6363636364,62.5,37.5,42.0454545455,59.0909090909,56.8181818182,51.1363636364,69.3181818182,75,55.6818181818,60.2272727273,45.4545454545,40.9090909091
6.1.3.3.0,Intonacatori,56.25,53.75,45,28.75,48.75,25,36.25,55,58.75,53.75,67.5,70,65,47.5,43.75,33.75
6.1.3.4.0,Installatori di impianti di isolamento e insonorizzazione,75,71.4285714286,69.6428571429,57.1428571429,67.8571428571,55.3571428571,62.5,73.2142857143,71.4285714286,73.2142857143,80.3571428571,82.1428571429,75,58.9285714286,53.5714285714,62.5
6.1.3.5.0,Vetrai,71.25,67.5,65,45,65,33.75,48.75,68.75,65,61.25,76.25,77.5,71.25,75,53.75,56.25
6.1.3.6.1,Idraulici nelle costruzioni civili,68.1818181818,64.7727272727,64.7727272727,53.4090909091,65.9090909091,38.6363636364,50,69.3181818182,68.1818181818,70.4545454545,75,69.3181818182,72.7272727273,57.9545454545,50,59.0909090909
6.1.3.6.2,Installatori di impianti termici nelle costruzioni civili,66.25,62.5,63.75,48.75,55,35,55,57.5,61.25,55,75,65,61.25,58.75,52.5,57.5
6.1.3.7.0,Elettricisti ed installatori di impianti elettrici nelle costruzioni civili,66.6666666667,67.8571428571,67.8571428571,47.619047619,64.2857142857,44.0476190476,50,69.0476190476,55.9523809524,58.3333333333,64.2857142857,66.6666666667,66.6666666667,48.8095238095,50,54.7619047619
6.1.3.8.0,Installatori di infissi e serramenti,67.5,65,70,50,72.5,50,53.75,70,70,71.25,77.5,86.25,70,63.75,56.25,67.5
6.1.4.1.1,Pittori edili,70,64,61,36,57,36,41,69,64,66,76,79,65,61,58,44
6.1.4.1.2,Decoratori e stuccatori edili,72.5,66.25,70,43.75,55,40,50,75,73.75,62.5,73.75,75,72.5,57.5,61.25,50
6.1.4.2.0,Pulitori di facciate,82.1428571429,82.1428571429,64.2857142857,57.1428571429,60.7142857143,42.8571428571,57.1428571429,60.7142857143,75,57.1428571429,75,75,60.7142857143,57.1428571429,60.7142857143,64.2857142857
6.1.5.1.0,Operai addetti ai servizi di igiene e pulizia,72.7272727273,61.3636363636,53.4090909091,34.0909090909,56.8181818182,40.9090909091,50,65.9090909091,62.5,67.0454545455,78.4090909091,70.4545454545,65.9090909091,55.6818181818,47.7272727273,53.4090909091
6.1.5.2.0,Operai addetti alla manutenzione degli impianti fognari,62.5,63.75,57.5,37.5,56.25,38.75,45,67.5,55,57.5,71.25,67.5,71.25,53.75,37.5,41.25
6.2.1.1.1,Fonditori,73.9130434783,69.5652173913,56.5217391304,40.2173913043,72.8260869565,48.9130434783,53.2608695652,80.4347826087,75,72.8260869565,77.1739130435,73.9130434783,75,66.3043478261,32.6086956522,52.1739130435
6.2.1.1.2,Formatori e animisti,72.5,65,62.5,46.25,67.5,47.5,61.25,66.25,68.75,67.5,70,76.25,71.25,65,48.75,53.75
6.2.1.2.0,Saldatori e tagliatori a fiamma,72.0588235294,63.2352941176,63.2352941176,42.6470588235,69.1176470588,47.0588235294,50,72.0588235294,70.5882352941,67.6470588235,77.9411764706,82.3529411765,72.0588235294,57.3529411765,41.1764705882,57.3529411765
6.2.1.3.1,Lattonieri e calderai,65,55,45,43.3333333333,63.3333333333,35,43.3333333333,61.6666666667,58.3333333333,58.3333333333,76.6666666667,68.3333333333,46.6666666667,41.6666666667,31.6666666667,38.3333333333
6.2.1.3.2,Tracciatori,65.3846153846,48.0769230769,46.1538461538,21.1538461538,46.1538461538,21.1538461538,32.6923076923,55.7692307692,46.1538461538,42.3076923077,63.4615384615,73.0769230769,50,36.5384615385,28.8461538462,42.3076923077
6.2.1.4.0,Carpentieri e montatori di carpenteria metallica,53.4090909091,50,48.8636363636,42.0454545455,56.8181818182,32.9545454545,44.3181818182,53.4090909091,50,51.1363636364,67.0454545455,64.7727272727,55.6818181818,46.5909090909,30.6818181818,35.2272727273
6.2.1.5.0,Attrezzatori e montatori di cavi metallici per uso industriale e di trasporto,75,66.6666666667,65.2777777778,55.5555555556,77.7777777778,59.7222222222,69.4444444444,77.7777777778,75,70.8333333333,88.8888888889,86.1111111111,73.6111111111,68.0555555556,55.5555555556,72.2222222222
6.2.1.6.0,Sommozzatori e lavoratori subacquei,72.0588235294,73.5294117647,70.5882352941,63.2352941176,77.9411764706,63.2352941176,73.5294117647,80.8823529412,80.8823529412,75,83.8235294118,83.8235294118,72.0588235294,47.0588235294,57.3529411765,76.4705882353
6.2.1.7.0,Saldatori elettrici e a norme ASME,79.6875,70.3125,64.0625,48.4375,78.125,53.125,62.5,78.125,68.75,68.75,89.0625,92.1875,78.125,60.9375,56.25,68.75
6.2.1.8.1,Carrozzieri,67.8571428571,63.0952380952,65.4761904762,35.7142857143,50,27.380952381,47.619047619,57.1428571429,57.1428571429,60.7142857143,69.0476190476,82.1428571429,67.8571428571,55.9523809524,52.380952381,53.5714285714
6.2.1.8.2,Stampatori e piegatori di lamiere,58.0357142857,52.6785714286,50.8928571429,38.3928571429,58.0357142857,30.3571428571,54.4642857143,56.25,52.6785714286,49.1071428571,65.1785714286,69.6428571429,63.3928571429,50.8928571429,40.1785714286,48.2142857143
6.2.2.1.1,Fabbri,61.9047619048,58.3333333333,67.8571428571,54.7619047619,60.7142857143,39.2857142857,36.9047619048,60.7142857143,58.3333333333,58.3333333333,71.4285714286,76.1904761905,63.0952380952,61.9047619048,52.380952381,47.619047619
6.2.2.1.2,Fucinatori e forgiatori,62.5,47.5,43.75,27.5,57.5,32.5,52.5,52.5,57.5,61.25,71.25,61.25,55,42.5,33.75,42.5
6.2.2.2.0,"Costruttori di utensili, modellatori e tracciatori meccanici",68.0555555556,66.6666666667,63.8888888889,51.3888888889,62.5,45.8333333333,48.6111111111,61.1111111111,61.1111111111,63.8888888889,76.3888888889,81.9444444444,69.4444444444,59.7222222222,59.7222222222,59.7222222222
6.2.2.3.1,Attrezzisti di macchine utensili,67.0454545455,64.7727272727,65.9090909091,37.5,75,39.7727272727,56.8181818182,59.0909090909,63.6363636364,70.4545454545,81.8181818182,75,62.5,57.9545454545,43.1818181818,50
6.2.2.3.2,Aggiustatori meccanici,66.6666666667,55.9523809524,59.5238095238,42.8571428571,64.2857142857,35.7142857143,50,64.2857142857,59.5238095238,63.0952380952,67.8571428571,72.619047619,65.4761904762,58.3333333333,47.619047619,51.1904761905
6.2.3.1.1,Meccanici motoristi e riparatori di veicoli a motore,65,71.25,72.5,52.5,62.5,42.5,41.25,68.75,65,57.5,77.5,80,71.25,71.25,45,62.5
6.2.3.1.2,Gommisti,70.2380952381,65.4761904762,61.9047619048,45.2380952381,60.7142857143,40.4761904762,41.6666666667,77.380952381,70.2380952381,65.4761904762,80.9523809524,70.2380952381,78.5714285714,55.9523809524,42.8571428571,50
6.2.3.1.3,Meccanici di biciclette e veicoli assimilati,70.2380952381,71.4285714286,69.0476190476,33.3333333333,55.9523809524,44.0476190476,38.0952380952,70.2380952381,69.0476190476,66.6666666667,75,77.380952381,69.0476190476,65.4761904762,59.5238095238,61.9047619048
6.2.3.2.0,"Meccanici, riparatori e manutentori di aerei",98.3333333333,91.6666666667,78.3333333333,66.6666666667,93.3333333333,60,98.3333333333,100,98.3333333333,98.3333333333,100,100,90,80,66.6666666667,93.3333333333
6.2.3.3.1,Riparatori e manutentori di macchinari e impianti industriali,69.3181818182,67.0454545455,54.5454545455,37.5,57.9545454545,34.0909090909,46.5909090909,60.2272727273,63.6363636364,67.0454545455,72.7272727273,77.2727272727,65.9090909091,53.4090909091,43.1818181818,55.6818181818
6.2.3.3.2,Installatori e montatori di macchinari e impianti industriali,63.0952380952,70.2380952381,65.4761904762,54.7619047619,61.9047619048,35.7142857143,48.8095238095,63.0952380952,61.9047619048,58.3333333333,73.8095238095,76.1904761905,69.0476190476,54.7619047619,55.9523809524,63.0952380952
6.2.3.4.1,Frigoristi industriali,76.25,65,72.5,46.25,63.75,47.5,35,67.5,67.5,70,90,81.25,77.5,72.5,55,67.5
6.2.3.4.2,Frigoristi navali,82.8947368421,76.3157894737,61.8421052632,46.0526315789,67.1052631579,48.6842105263,52.6315789474,67.1052631579,64.4736842105,69.7368421053,77.6315789474,78.9473684211,46.0526315789,57.8947368421,55.2631578947,76.3157894737
6.2.3.5.1,Riparatori e manutentori di apparecchi e impianti termoidraulici industriali,67.8571428571,67.8571428571,67.8571428571,50,67.8571428571,60.7142857143,67.8571428571,67.8571428571,67.8571428571,67.8571428571,75,71.4285714286,71.4285714286,64.2857142857,53.5714285714,67.8571428571
6.2.3.5.2,Installatori e montatori di apparecchi e impianti termoidraulici industriali,82.3529411765,70.5882352941,72.0588235294,72.0588235294,76.4705882353,66.1764705882,67.6470588235,82.3529411765,75,73.5294117647,88.2352941176,82.3529411765,79.4117647059,72.0588235294,69.1176470588,75
6.2.3.6.0,Meccanici collaudatori,72.5,58.75,61.25,55,67.5,52.5,47.5,65,63.75,61.25,77.5,77.5,72.5,53.75,52.5,63.75
6.2.3.7.0,Verniciatori artigianali ed industriali,72.5,56.25,63.75,47.5,61.25,45,46.25,61.25,62.5,61.25,67.5,78.75,65,57.5,56.25,48.75
